clause,label,source_policy
"Conditions of Use Last updated: May 30, 2025 Welcome to Amazon.com.",none,Amazon_COU
"Amazon.com Services LLC and/or its affiliates (""Amazon"") provide website features and other products and services to you when you visit or shop at Amazon.com, use Amazon products or services, use Amazon applications for mobile, or use software provided by Amazon in connection with any of the foregoing (collectively, ""Amazon Services"").",none,Amazon_COU
"By using the Amazon Services, you agree, on behalf of yourself and all members of your household and others who use any Amazon Service under your account, to the following conditions.",none,Amazon_COU
"We offer a wide range of Amazon Services, and sometimes additional terms may apply.",none,Amazon_COU
"When you use an Amazon Service (for example, Your Profile, Gift Cards, Amazon Video, Your Media Library, Amazon devices, or Amazon applications) you also will be subject to the guidelines, terms and agreements applicable to that Amazon Service (""Service Terms"").",none,Amazon_COU
"If these Conditions of Use are inconsistent with the Service Terms, those Service Terms will control.",none,Amazon_COU
"PRIVACY Please review our Privacy Notice, which also governs your use of Amazon Services, to understand our practices.",none,Amazon_COU
"ELECTRONIC COMMUNICATIONS When you use Amazon Services, or send e-mails, text messages, and other communications from your desktop or mobile device to us, you may be communicating with us electronically.",none,Amazon_COU
"You consent to receive communications from us electronically, such as e-mails, texts, mobile push notices, or notices and messages on this site or through the other Amazon Services, such as our Message Center, and you can retain copies of these communications for your records.",none,Amazon_COU
"You agree that all agreements, notices, disclosures, and other communications that we provide to you electronically satisfy any legal requirement that such communications be in writing.",none,Amazon_COU
"COPYRIGHT All content included in or made available through any Amazon Service, such as text, graphics, logos, button icons, images, audio clips, digital downloads, data compilations, and software is the property of Amazon or its content suppliers and protected by United States and international copyright laws.",none,Amazon_COU
The compilation of all content included in or made available through any Amazon Service is the exclusive property of Amazon and protected by U.S.,none,Amazon_COU
TRADEMARKS Click here to see a non-exhaustive list of Amazon trademarks.,none,Amazon_COU
"In addition, graphics, logos, page headers, button icons, scripts, and service names included in or made available through any Amazon Service are trademarks or trade dress of Amazon in the U.S.",none,Amazon_COU
Amazon's trademarks and trade dress may not be used in connection with any product or service that is not Amazon's or in any manner that is likely to cause confusion among customers.,none,Amazon_COU
"All other trademarks not owned by Amazon that appear in any Amazon Service are the property of their respective owners, who may or may not be affiliated with, connected to, or sponsored by Amazon.",none,Amazon_COU
"LICENSE AND ACCESS Subject to your compliance with these Conditions of Use and any Service Terms, and your payment of any applicable fees, Amazon or its content providers grant you a limited, non-exclusive, non-transferable, non-sublicensable license to access and make personal and non-commercial use of the Amazon Services.",none,Amazon_COU
"This license does not include any resale or commercial use of any Amazon Service, or its contents; any collection and use of any product listings, descriptions, or prices; any derivative use of any Amazon Service or its contents; any downloading, copying, or other use of account information for the benefit of any third party; or any use of data mining, robots, or similar data gathering and extraction tools.",data_sharing,Amazon_COU
"You may not use the Amazon Services to infringe, misappropriate, or violate intellectual property or other legal rights.",none,Amazon_COU
"All rights not expressly granted to you in these Conditions of Use or any Service Terms are reserved and retained by Amazon or its licensors, suppliers, publishers, rightsholders, or other content providers.",none,Amazon_COU
"No Amazon Service, nor any part of any Amazon Service or its contents, may be reproduced, duplicated, copied, sold, resold, visited, or otherwise exploited for any commercial purpose without express written consent of Amazon.",none,Amazon_COU
"You will not, and will not allow any third party to, use AI-generated content from the Amazon Services to, directly or indirectly, develop or improve large language or multimodal models, machine learning models or related technology.",data_sharing,Amazon_COU
"You may not frame or utilize framing techniques to enclose any trademark, logo, or other proprietary information (including images, text, page layout, or form) of Amazon without express written consent.",none,Amazon_COU
"You may not use any meta tags or any other ""hidden text"" utilizing Amazon's name or trademarks without the express written consent of Amazon.",none,Amazon_COU
You may use the Amazon Services only as permitted by law.,none,Amazon_COU
The licenses granted by Amazon terminate if you do not comply with these Conditions of Use or any Service Terms.,none,Amazon_COU
"YOUR ACCOUNT You may need your own Amazon account to use certain Amazon Services, and you may be required to be logged in to the account and have a valid payment method associated with it.",none,Amazon_COU
"If there is a problem charging your selected payment method, we may charge any other valid payment method associated with your account.",none,Amazon_COU
Visit Your Payments to manage your payment options.,none,Amazon_COU
"You are responsible for maintaining the confidentiality of your account and password and for restricting access to your account, and you agree to accept responsibility for all activities that occur under your account or password.",none,Amazon_COU
"Amazon does sell products for children, but it sells them to adults, who can purchase with a credit card or other permitted payment method.",none,Amazon_COU
"If you are under 18, you may use the Amazon Services only with involvement of a parent or guardian.",none,Amazon_COU
Parents and guardians may create profiles for teenagers in their Amazon Household.,none,Amazon_COU
Alcohol listings on Amazon are intended for adults.,none,Amazon_COU
"You must be at least 21 years of age to purchase alcohol, or use any site functionality related to alcohol.",none,Amazon_COU
"Amazon reserves the right to refuse service, terminate accounts, terminate your rights to use Amazon Services, remove or edit content, or cancel orders in its sole discretion.",none,Amazon_COU
"REVIEWS, COMMENTS, COMMUNICATIONS, AND OTHER CONTENT You may post reviews, comments, photos, videos, and other content; send e-cards and other communications; and submit suggestions, ideas, comments, questions, or other information, so long as the content is not illegal, obscene, threatening, defamatory, invasive of privacy, infringing of intellectual property rights (including publicity rights), or otherwise injurious to third parties or objectionable, and does not consist of or contain software viruses, political campaigning, commercial solicitation, chain letters, mass mailings, or any form of ""spam"" or unsolicited commercial electronic messages.",none,Amazon_COU
"You may not use a false e-mail address, impersonate any person or entity, or otherwise mislead as to the origin of a card or other content.",none,Amazon_COU
"Amazon reserves the right (but not the obligation) to remove or edit such content, but does not regularly review posted content.",none,Amazon_COU
"If you do post content or submit material, and unless we indicate otherwise, you grant Amazon a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute, and display such content throughout the world in any media.",none,Amazon_COU
"You grant Amazon and sublicensees the right to use the name that you submit in connection with such content, if they choose.",none,Amazon_COU
You represent and warrant that you own or otherwise control all of the rights to the content that you post; that the content is accurate; that use of the content you supply does not violate this policy and will not cause injury to any person or entity; and that you will indemnify Amazon for all claims resulting from content you supply.,none,Amazon_COU
Amazon has the right but not the obligation to monitor and edit or remove any activity or content.,none,Amazon_COU
Amazon takes no responsibility and assumes no liability for any content posted by you or any third party.,data_sharing,Amazon_COU
INTELLECTUAL PROPERTY COMPLAINTS Amazon respects the intellectual property of others.,none,Amazon_COU
"If you believe that your intellectual property rights are being infringed, please follow our Notice and Procedure for Making Claims of Copyright Infringement.",none,Amazon_COU
RISK OF LOSS All purchases of physical items from Amazon are made pursuant to a shipment contract.,none,Amazon_COU
This means that the risk of loss and title for such items pass to you upon our delivery to the carrier.,none,Amazon_COU
"RETURNS, REFUNDS AND TITLE Amazon does not take title to returned items until the item arrives at our fulfillment center.",refunds,Amazon_COU
"At our discretion, a refund may be issued without requiring a return.",refunds,Amazon_COU
"In this situation, Amazon does not take title to the refunded item.",refunds,Amazon_COU
"For more information about our returns and refunds, please see our Returns Center.",refunds,Amazon_COU
PRODUCT DESCRIPTIONS Amazon attempts to be as accurate as possible.,none,Amazon_COU
"However, Amazon does not warrant that product descriptions or other content of any Amazon Service is accurate, complete, reliable, current, or error-free.",none,Amazon_COU
"If a product offered by Amazon itself is not as described, your sole remedy is to return it in unused condition.",none,Amazon_COU
"PRICING With respect to items sold by Amazon, we cannot confirm the price of an item until you order.",none,Amazon_COU
"Despite our best efforts, a small number of the items in our catalog may be mispriced.",none,Amazon_COU
"If the correct price of an item sold by Amazon is higher than our stated price, we will, at our discretion, either contact you for instructions before shipping or cancel your order and notify you of such cancellation.",none,Amazon_COU
Other merchants may follow different policies in the event of a mispriced item.,none,Amazon_COU
"We generally do not charge your credit card until after your order has entered the shipping process or, for digital products, until we make the digital product available to you.",none,Amazon_COU
"In addition to the stated purchase price, products may display other reference prices as a point of comparison to inform your purchase decisions.",none,Amazon_COU
Click here for more information on reference prices and savings displays.,none,Amazon_COU
"APP PERMISSIONS When you use apps created by Amazon, such as the Amazon App or Kindle App, you may grant certain permissions to us for your device.",none,Amazon_COU
Most mobile devices provide you with information about these permissions.,none,Amazon_COU
"To learn more about these permissions, click here.",none,Amazon_COU
SANCTIONS AND EXPORT POLICY You may not use any Amazon Service if you are the subject of U.S.,none,Amazon_COU
sanctions or of sanctions consistent with U.S.,none,Amazon_COU
law imposed by the governments of the country where you are using Amazon Services.,none,Amazon_COU
"or other export and re-export restrictions that may apply to goods, software (including Amazon Software), technology, and services.",none,Amazon_COU
"OTHER BUSINESSES Parties other than Amazon operate stores, provide services or software, or sell product lines through the Amazon Services.",none,Amazon_COU
"In addition, we provide links to the sites of affiliated companies and certain other businesses.",none,Amazon_COU
"If you purchase any of the products or services offered by these businesses or individuals, you are purchasing directly from those third parties, not from Amazon.",none,Amazon_COU
"We are not responsible for examining or evaluating, and we do not warrant, the offerings of any of these businesses or individuals (including the content of their Web sites).",none,Amazon_COU
"Amazon does not assume any responsibility or liability for the actions, product, and content of all these and any other third parties.",none,Amazon_COU
You should carefully review their privacy statements and other conditions of use.,none,Amazon_COU
"DISCLAIMER OF WARRANTIES AND LIMITATION OF LIABILITY THE AMAZON SERVICES AND ALL INFORMATION, CONTENT, MATERIALS, PRODUCTS (INCLUDING SOFTWARE) AND OTHER SERVICES INCLUDED ON OR OTHERWISE MADE AVAILABLE TO YOU THROUGH THE AMAZON SERVICES ARE PROVIDED BY AMAZON ON AN ""AS IS"" AND ""AS AVAILABLE"" BASIS, UNLESS OTHERWISE SPECIFIED IN WRITING.",none,Amazon_COU
"AMAZON MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND, EXPRESS OR IMPLIED, AS TO THE OPERATION OF THE AMAZON SERVICES, OR THE INFORMATION, CONTENT, MATERIALS, PRODUCTS (INCLUDING SOFTWARE) OR OTHER SERVICES INCLUDED ON OR OTHERWISE MADE AVAILABLE TO YOU THROUGH THE AMAZON SERVICES, UNLESS OTHERWISE SPECIFIED IN WRITING.",none,Amazon_COU
YOU EXPRESSLY AGREE THAT YOUR USE OF THE AMAZON SERVICES IS AT YOUR SOLE RISK.,none,Amazon_COU
"TO THE FULL EXTENT PERMISSIBLE BY LAW, AMAZON DISCLAIMS ALL WARRANTIES, EXPRESS OR IMPLIED, INCLUDING, BUT NOT LIMITED TO, IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.",none,Amazon_COU
"AMAZON DOES NOT WARRANT THAT THE AMAZON SERVICES, INFORMATION, CONTENT, MATERIALS, PRODUCTS (INCLUDING SOFTWARE) OR OTHER SERVICES INCLUDED ON OR OTHERWISE MADE AVAILABLE TO YOU THROUGH THE AMAZON SERVICES, AMAZON'S SERVERS OR ELECTRONIC COMMUNICATIONS SENT FROM AMAZON ARE FREE OF VIRUSES OR OTHER HARMFUL COMPONENTS.",none,Amazon_COU
"TO THE FULL EXTENT PERMISSIBLE BY LAW, AMAZON WILL NOT BE LIABLE FOR ANY DAMAGES OF ANY KIND ARISING FROM THE USE OF ANY AMAZON SERVICE, OR FROM ANY INFORMATION, CONTENT, MATERIALS, PRODUCTS (INCLUDING SOFTWARE) OR OTHER SERVICES INCLUDED ON OR OTHERWISE MADE AVAILABLE TO YOU THROUGH ANY AMAZON SERVICE, INCLUDING, BUT NOT LIMITED TO DIRECT, INDIRECT, INCIDENTAL, PUNITIVE, AND CONSEQUENTIAL DAMAGES, UNLESS OTHERWISE SPECIFIED IN WRITING.",none,Amazon_COU
"DISPUTES Any dispute or claim relating in any way to your use of any Amazon Service will be adjudicated in the state or Federal courts in King County, Washington, and you consent to exclusive jurisdiction and venue in these courts.",none,Amazon_COU
We each waive any right to a jury trial.,none,Amazon_COU
"APPLICABLE LAW By using any Amazon Service, you agree that applicable federal law, and the laws of the state of Washington, without regard to principles of conflict of laws, will govern these Conditions of Use and any dispute of any sort that might arise between you and Amazon.",none,Amazon_COU
"SITE POLICIES, MODIFICATION, AND SEVERABILITY Please review our other policies, such as our pricing policy, posted on this site.",none,Amazon_COU
These policies also govern your use of Amazon Services.,none,Amazon_COU
"We reserve the right to make changes to our site, policies, Service Terms, and these Conditions of Use at any time.",none,Amazon_COU
"If any of these conditions shall be deemed invalid, void, or for any reason unenforceable, that condition shall be deemed severable and shall not affect the validity and enforceability of any remaining condition.",none,Amazon_COU
Governing Language It is the express wish of the parties that these Conditions of Use be drawn up in English.,none,Amazon_COU
"In the event of any inconsistency, discrepancy or conflict between the English version of these Conditions of Use and their translation in another language, the English version shall prevail.",none,Amazon_COU
"Box 81226 Seattle, WA 98108-1226 https://amazon.com ADDITIONAL AMAZON SOFTWARE TERMS The following terms (“Software Terms”) apply to any software (including any updates or upgrades to the software) and any related documentation we make available to you in connection with Amazon Services (the ""Amazon Software"").",none,Amazon_COU
"You may use Amazon Software solely for purposes of enabling you to use the Amazon Services as provided by Amazon, and as permitted by these Conditions of Use and any Service Terms.",none,Amazon_COU
"You may not incorporate any portion of the Amazon Software into other programs or compile any portion of it in combination with other programs, or otherwise copy (except to exercise rights granted in this section), modify, create derivative works of, distribute, assign any rights to, or license the Amazon Software in whole or in part.",none,Amazon_COU
All software used in any Amazon Service is the property of Amazon or its software suppliers and is protected by United States and international copyright laws.,none,Amazon_COU
"When you use the Amazon Software, you may also be using the services of one or more third parties, such as a wireless carrier or a mobile software provider.",none,Amazon_COU
"Your use of these third party services may be subject to the separate policies, terms of use, and fees of these third parties.",data_sharing,Amazon_COU
"You may not reverse engineer, decompile or disassemble, tamper with, apply any other process or procedure to derive the source code or other underlying components (such as a model, model parameters, or model weights), or bypass any security associated with the Amazon Software, whether in whole or in part.",none,Amazon_COU
We may offer automatic or manual updates to the Amazon Software at any time and without notice to you.,none,Amazon_COU
"Government end user, we are licensing the Amazon Software to you as a ""Commercial Product"" as that term is defined in the U.S.",none,Amazon_COU
Code of Federal Regulations (see 48 C.F.R.,none,Amazon_COU
"§ 2.101), and the rights we grant you to the Amazon Software are the same as the rights we grant to all others under these Conditions of Use.",none,Amazon_COU
"In the event of any conflict between these Conditions of Use and any other Amazon or third-party terms applicable to any portion of Amazon Software, such as open-source license terms, such other terms will control as to that portion of the Amazon Software and to the extent of the conflict.",data_sharing,Amazon_COU
"Agents The terms in this section (""Agent Terms"") apply if you use, allow, enable, or cause the deployment of an Agent to access, use, or interact with any Amazon Services.",none,Amazon_COU
"For the purposes of these Agent Terms, ""Agent” means any software or service that takes autonomous or semi-autonomous action on behalf of, or at the instruction of, any person or entity.",none,Amazon_COU
"No Agent may access, use, or interact with Amazon Services unless, at all times, it identifies itself and operates in strict accordance with the requirements in section 3 of these Agent Terms.",none,Amazon_COU
"In addition, no Agent may access, use, or interact with Amazon Services if we have requested that the Agent refrain from accessing, using, or interacting with any Amazon Service.",none,Amazon_COU
"At our sole discretion, we may limit, including by technical measures, whether and how any Agent accesses, uses, and interacts with Amazon Services.",none,Amazon_COU
"Agents must: In all HTTP/HTTPS requests, identify that the request is from an Agent and disclose the name of the Agent by including the following in the request's user agent string: ""Agent/[agent name]"" (e.g., Agent/AmazonAgent) Not conceal or obfuscate that any access, use, or interactions are from an Agent, such as by (a) mimicking the speed or pattern of human keystrokes, page navigation, or other interactions or (b) completing or circumventing CAPTCHAs or other measures intended to distinguish computers from humans.",none,Amazon_COU
Respond truthfully to any question or prompt seeking to determine if interactions are coming from a human or a computer.,none,Amazon_COU
"Not circumvent or otherwise avoid any measure intended to block, limit, modify, or control whether and how Agents access, use, or interact with an Amazon Service.",none,Amazon_COU
"HOW TO SERVE A SUBPOENA OR OTHER LEGAL PROCESS Amazon accepts service of subpoenas or other legal process only through Amazon's national registered agent, Corporation Service Company (CSC).",none,Amazon_COU
"Subpoenas or other legal process may be served by sending them to CSC at the following address: Amazon.com, Inc.",none,Amazon_COU
"Corporation Service Company 300 Deschutes Way SW, Suite 208 MC-CSC1 Tumwater, WA 98501 Attn: Legal Department – Legal Process Please note also that providing detailed and accurate information at the outset will facilitate efficient processing of your request.",none,Amazon_COU
"That information will include, for example, e-mail and/or credit card number used to make purchases for retail purchase information; the name, e-mail, and physical address of a seller for seller information; device serial number for Amazon devices; and IP address and complete time stamps.",none,Amazon_COU
"NOTICE AND PROCEDURE FOR MAKING CLAIMS OF INTELLECTUAL PROPERTY INFRINGEMENT If you believe that your intellectual property rights have been infringed, please submit your complaint using our online form.",none,Amazon_COU
"This form may be used to report all types of intellectual property claims including, but not limited to, copyright, trademark, and patent claims.",none,Amazon_COU
"We respond quickly to the concerns of rights owners about any alleged infringement, and we terminate repeat infringers in appropriate circumstances.",none,Amazon_COU
We offer the following alternative to our online form for copyright complaints only.,none,Amazon_COU
You may submit written claims of copyright infringement to our Copyright Agent at: Copyright Agent Amazon.com Legal Department P.O.,none,Amazon_COU
"Box 81226 Seattle, WA 98108 phone: (206) 266-4064 e-mail: copyright@amazon.com Courier address: Copyright Agent Amazon.com Legal Department 2021 7th Avenue Seattle, WA 98121 USA Written claims concerning copyright infringement must include the following information: A physical or electronic signature of the person authorized to act on behalf of the owner of the copyright interest; A description of the copyrighted work that you claim has been infringed upon; A description of where the material that you claim is infringing is located on the site; Your address, telephone number, and e-mail address; A statement by you that you have a good-faith belief that the disputed use is not authorized by the copyright owner, its agent, or the law; and A statement by you, made under penalty of perjury, that the above information in your notice is accurate and that you are the copyright owner or authorized to act on the copyright owner's behalf.",none,Amazon_COU
