clause,label,source_policy
"Skip to main content Privacy Policy Privacy Settings Privacy Center Help Center Policy Archive Download PDF X Privacy Policy Effective: July 28, 2025 Before you scroll, read this It’s really hard to make everyone happy with a Privacy Policy.",none,X_privacy
Most people who use X want something short and easy to understand.,none,X_privacy
"While we wish we could fit everything you need to know into a post, our regulators ask us to meet our legal obligations by describing them all in a lot of detail.",none,X_privacy
"With that in mind, we’ve written our Privacy Policy as simply as possible to empower you to make informed decisions when you use X by making sure you understand and have control over the information we collect, how it’s used, and when it’s shared.",none,X_privacy
"So if you skip reading every word of the Privacy Policy, at least know this: X is a public platform Learn what’s viewable & searchable We collect some data about you Learn what we collect & how Affiliate services may have their own policies Learn about affiliates We use your data to make X better Learn how we make your info work You can control your experience Learn how to update your settings If you have questions about how we use data, just ask Learn how to contact us Privacy Policy 1.",none,X_privacy
Information We Collect The information we collect when you use X falls into three categories.,none,X_privacy
"To use some of our products and services you need to have an account, and to create an account, you need to provide us certain information.",none,X_privacy
"Likewise, if you use our paid products and services, we cannot provide them to you without getting payment information.",none,X_privacy
"Basically, certain information is necessary if you want to use many of our products and services.",none,X_privacy
"If you create an account, you must provide us with some information so that we can provide our services to you.",none,X_privacy
"This includes a display name (for example, “Creators”); a username (for example, @XCreators); a password; an email address or phone number; a date of birth; your display language; and third-party single sign-in information (if you choose this sign-in method).",data_sharing,X_privacy
"You can also choose to share your location in your profile and posts, and to upload your address book to X to help find people you may know.",none,X_privacy
"Your profile information, which includes your display name and username, is always public, but you can use either your real name or a pseudonym.",none,X_privacy
"And remember, you can create multiple X accounts, for example, to express different parts of your identity, professional or otherwise.",none,X_privacy
"If you create a professional account, you also need to provide us with a professional category, and may provide us with other information, including street address, contact email address, and contact phone number, all of which will always be public.",none,X_privacy
"In order to purchase ads or other offerings provided as part of our paid products and services you will need to provide us payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.",none,X_privacy
"When you set your preferences using your settings, we collect that information so that we can respect your preferences.",none,X_privacy
"Based on your consent, we may collect and use your biometric information for safety, security, and identification purposes.",none,X_privacy
"We may collect and use your personal information (such as your biographical information, employment history, educational history, employment preferences, skills and abilities, and job search activity and engagement, in addition to the information we already collect as disclosed in the “Information we collect when you use X” section of our Privacy Policy below) to recommend potential jobs to you, to share with potential employers when you apply for a job, to enable connections for professional opportunities, and to show you more relevant advertising.",none,X_privacy
1.2 Information we collect when you use X.,none,X_privacy
"When you use our services, we collect information about how you use our products and services.",none,X_privacy
"We use that information to provide you with products and services, to help keep X more secure and respectful for everyone, and more relevant to you.",none,X_privacy
"We collect information about your activity on X, including: Posts and other content you post (including the date, application, and version of X) and information about your broadcast activity (e.g., Spaces), including broadcasts you’ve created and when you created them, your lists, bookmarks, and Communities you are a part of.",none,X_privacy
"Your interactions with other users’ content, such as reposts, likes, bookmarks, shares, downloads, replies, if other users mention or tag you in content or if you mention or tag them, and broadcasts you’ve participated in (including your viewing history, listening, commenting, speaking, and reacting).",none,X_privacy
"How you interact with others on the platform, such as people you follow and people who follow you, metadata related to Encrypted Messages, and when you use Direct Messages, including the contents of the messages, the recipients, and date and time of messages.",none,X_privacy
"If you communicate with us, such as through email, we will collect information about the communication and its content.",none,X_privacy
We collect information on links you interact with across our services (including in our emails sent to you).,none,X_privacy
"To allow you to make a payment or send money using X features or services, including through an intermediary, we may receive information about your transaction such as when it was made, when a subscription is set to expire or auto-renew, and amounts paid or received.",auto_renewal,X_privacy
"We collect information from and about the devices you use to access X, including: Information about your connection, such as your IP address, browser type, and related information.",none,X_privacy
"Information about your device and its settings, such as device and advertising ID, operating system, carrier, language, memory, apps installed, and battery level.",none,X_privacy
"Your device address book, if you’ve chosen to share it with us.",none,X_privacy
"When you use X, we collect some information about your approximate location to provide the service you expect, including showing you relevant ads.",none,X_privacy
You can also choose to share your current precise location or places where you’ve previously used X by enabling these settings in your account.,location,X_privacy
"We may collect or receive information that we use to infer your identity as detailed below: When you sign into X on a browser or device, we will associate that browser or device with your account.",none,X_privacy
"Subject to your settings, we may also associate your account with browsers or devices other than those you use to sign into X (or associate your signed-out device or browser with other browsers or devices or X-generated identiﬁers).",none,X_privacy
"When you provide other information to X, including an email address or phone number, we associate that information with your X account.",none,X_privacy
"Subject to your settings, we may also use this information in order to infer other information about your identity, for example by associating your account with hashes of email addresses that share common components with the email address you have provided to X.",none,X_privacy
"When you access X and are not signed in, we may infer your identity based on the information we collect.",none,X_privacy
