clause,label,source_policy
Privacy Policy Date effective: September 2025 1.,none,delta
"This Privacy Policy All information described in this Privacy Policy is processed by Delta Air Lines, Inc.",none,delta
"(""Delta"", ""we"", ""us"", or ""our"") as data controller.",none,delta
"This Privacy Policy describes our practices related to the use, storage, and disclosure of personal information we collect from or about you when you interact with us in the course of our providing commercial air travel services, ancillary services, or other services provided by us or by others acting on our behalf, including when you use our website Delta.com (""Website"") or our Fly Delta App (""App"").",none,delta
This Privacy Policy also describes our processing of the personal data of individuals representing our business customers and suppliers.,none,delta
"The manner in which we process information depends on the type of information and purpose for processing and may include collection, organization, storage, alteration, retrieval, consultation, disclosure, restriction, erasure, or destruction.",none,delta
Delta reserves the right to modify this Privacy Policy at any time and without prior notice.,none,delta
We will post any changes to our Website.,none,delta
This Privacy Policy is not a contract and does not create any contractual rights or obligations.,none,delta
"How to Contact Us Delta has a Privacy Team, including a Data Protection Officer, that is dedicated to protecting your privacy.",none,delta
"If you have any questions or comments regarding this Privacy Policy or any complaints about our adherence to it, please contact our Data Protection Officer, Renee Lopez-Pineda, at Privacy@delta.com or contact our Customer Care Center by telephone or mail.",none,delta
We adhere to applicable notification requirements and reporting obligations to supervising authorities and/or data subjects regarding violations of this Privacy Policy as required by law.,none,delta
The substance and time frames applicable to these remedies are set forth in applicable laws.,none,delta
Additional remedies available in the event of a perceived violation of your privacy rights are discussed in sections 9.7 and section 12 regarding information security safeguards and data breach notification procedures.,none,delta
How Does Delta Collect & Receive Your Information?,none,delta
Our promotional partners are businesses with whom you may be offered a discount or benefit as a result of your transactions with Delta.,none,delta
"use any of our services, including when you travel with us, use airports where we operate, or use any facilities, such as Delta Sky Club lounge facilities, within those airports; through cookies and other tracking technologies on our Website and App (see section 6 below); and are associated to a company we do business with 3.2 Automatic access and data collection from our App Our App may access certain device information and/or components automatically.",tracking,delta
"3.3 We collect information from other sources We may receive your personal information from other airlines, and from travel agencies and your employer or company in connection with your travel booking.",none,delta
We may also receive your personal information from SkyMiles Partners and promotional partners in connection with our SkyMiles Program.,none,delta
Our suppliers and other businesses we deal with provide us personal information of their representatives.,none,delta
"This Privacy Policy applies to information we receive from those other sources, as well as to information we collect from you or generate about you.",none,delta
Delta is committed to limiting the information collected to what is necessary for the purposes for which the information is collected.,none,delta
"How Delta Uses Your Data 4.1 Information about you and how we use it This section describes what personal information we collect about you, the purposes for which we use it, and the legal basis under applicable law pursuant to which we process it.",none,delta
We may also use your personal information for other purposes if they are reasonably expected or incidental to those described in this Privacy Policy.,none,delta
"Please also see section 4.2 regarding information collected through our App, and section 4.6 regarding our use of sensitive types of information.",none,delta
share it for luggage security screening to enable you to travel within and between countries.,none,delta
"tailor our products and services for you, including anticipating your likely preferences based on information concerning your previous travel with us, previous transactions, or communications with us, any of which we may combine with other information we have about you, and which may be based on our segmentation and modelling of your personal information.",none,delta
"4.1.b Customer identification information, including: Secure Flight Passenger Data, such as your government issued ID; your full name; your contact details, such as postal address (or temporary address in the U.S.",none,delta
"customers); telephone numbers; email address; date of birth, gender; Known Traveler Number; and Redress Number; Advance Passenger Information such as passport or other travel document number (including machine-readable information), nationality, issue date and location, expiry date, and country of residence; information from the Department of Homeland Security or similar authorities responsible for security in other countries, if traveling from certain airports; biometric information (such as finger, face, voice, or iris).",none,delta
"We use this information to: verify and authenticate your identity; undertake security screening to enable you to travel within and between countries, as required by most governments; comply with legal and regulatory requirements; confirm your identity at check-in, bag check location, security checkpoints, and when boarding the aircraft; maintain the operational availability and reliability of our IT systems with infrastructure backups and testing (which may use a copy of live data where test data is not practical); share it with governments and as otherwise described in section 7; provide you with your flight and other products and services; send you service communications, such as expired or expiring passport.",none,delta
"4.1.d Information related to your preferences and personal and professional interests, and your opinions of our services,including: information about your Internet activity; your survey responses; your responses to our marketing efforts; your demographics; your contact preferences; your experience with our products and services.",none,delta
"We use this information because: it is necessary to enter into or to perform a contract with you; you have given consent, for example, to us using information to send you marketing communications; the information is publicly available; or we have a legitimate business interest, for example, in enabling you to manage your preferences and account details, improving our service, personalizing it for our customers, and better understanding how customers use it, ensuring that our technical systems operate properly, and promoting and developing our business.",none,delta
"4.1.e Information from your use of our Website or App including corporate travel online tool(s) accessed through them, including: your Internet service provider; your browser type; your operating system; pages you access on our Website or App; the date and time of your access to our Website or App; your device type; the IP address or unique identifier of your device; your location, established from GPS or network based features; feedback you provide to us; your log-in credentials, if you have a SkyMiles or other account with us; your online transactions with us; your role or registration when using our corporate travel online tool(s).",none,delta
We use this information to: operate and administer our Website and App; provide our products and services to you.,none,delta
"4.1.f Information from your communications with us and our staff, including: interactions in person on board our flights, or with ground staff; emails, letters, online ""chats"", surveys, and telephone calls with our staff including our customer service teams; via social media.",none,delta
"We use this information to: deal with any issues and concerns; provide our products and services to you; personalize our services; manage and administer our services and business and for our record-keeping requirements; maintain the operational availability and reliability of our IT systems with infrastructure backups and testing (which may use a copy of live data where test data is not practical); improve our products and services, including through research for program development; send you marketing communications, offers, and invitations to events, which may be based on segmentation and modelling of your personal information; monitor communications for staff training, and quality checking purposes.",none,delta
"4.1.g Information relating to travel and aircraft emergencies, including: your involvement in medical incidents affecting you and others during your travel with us; professional information about individuals involved in your care; your designated emergency contact.",none,delta
