clause,label,source_policy
"Apple Privacy Policy Updated July 30, 2025 Appleʼs Privacy Policy describes how Apple collects, uses, and shares your personal data.",none,apple
"In addition to this Privacy Policy, we provide data and privacy information embedded in our products and certain features that ask to use your personal data.",none,apple
This product-specific information is accompanied by our Data & Privacy Icon.,none,apple
You will be given an opportunity to review this product-specific information before using these features.,none,apple
"You also can view this information at any time, either in settings related to those features and/or online at apple.com/legal/privacy/data.",none,apple
"You can familiarize yourself with our privacy practices, accessible via the headings below, and contact us if you have any questions.",none,apple
Download a copy of this Privacy Policy (PDF) Your California Privacy Disclosures Information Regarding Commercial Electronic Messages in Canada Consumer Health Personal Data Privacy Policy Apple Health Study Apps Privacy Policy     What Is Personal Data at Apple?,none,apple
"At Apple, we believe strongly in fundamental privacy rights — and that those fundamental rights should not differ depending on where you live in the world.",none,apple
"Thatʼs why we treat any data that relates to an identified or identifiable individual or that is linked or linkable to them by Apple as “personal data,” no matter where the individual lives.",none,apple
"This means that data that directly identifies you — such as your name — is personal data, and also data that does not directly identify you, but that can reasonably be used to identify you — such as the serial number of your device — is personal data.",none,apple
Aggregated data is considered non-personal data for the purposes of this Privacy Policy.,none,apple
"This Privacy Policy covers how Apple or an Apple-affiliated company (collectively, “Apple”) handles personal data whether you interact with us on our websites, through Apple apps (such as Apple Music or Wallet), or in person (including by phone or when visiting an Apple Store).",none,apple
Apple may also link to third parties on our services or make third-party apps available for download in our App Store.,data_sharing,apple
Appleʼs Privacy Policy does not apply to how third parties define personal data or how they use it.,none,apple
We encourage you to read their privacy policies and know your privacy rights before interacting with them.,none,apple
"Your Privacy Rights at Apple At Apple, we respect your ability to know, access, correct, transfer, restrict the processing of, and delete your personal data.",none,apple
"We have provided these rights to our global customer base and if you choose to exercise these privacy rights, you have the right not to be treated in a discriminatory way nor to receive a lesser degree of service from Apple.",none,apple
"Where you are requested to consent to the processing of your personal data by Apple, you have the right to withdraw your consent at any time.",none,apple
"To exercise your privacy rights and choices, including where a third-party service provider is acting on Appleʼs behalf, visit the Apple Data and Privacy page at privacy.apple.com for Apple or shazam.com/privacy for Shazam.",data_sharing,apple
"To help protect the security of your personal data, you must sign in to your account and your identity will be verified.",none,apple
"If you want to obtain a copy of personal data that is not currently available from privacy.apple.com, you can make a request at apple.com/legal/privacy/contact.",none,apple
You also have the right to lodge a complaint with the applicable regulator.,none,apple
"There may be situations where we cannot grant your request — for example, if you ask us to delete your transaction data and Apple is legally obligated to keep a record of that transaction to comply with law.",none,apple
"We may also decline to grant a request where doing so would undermine our legitimate use of data for anti-fraud and security purposes, such as when you request deletion of an account that is being investigated for security concerns.",none,apple
"Other reasons your privacy request may be denied are if it jeopardizes the privacy of others, is frivolous or vexatious, or would be extremely impractical or unreasonable.",none,apple
"If you live in California and you cannot access Appleʼs Data and Privacy page, you or your authorized agent can make a request at apple.com/legal/privacy/contact or by calling 1-800-275-2273.",none,apple
"For more information on exercising your rights, visit support.apple.com/102283.",none,apple
"Personal Data Apple Collects from You At Apple, we believe that you can have great products and great privacy.",none,apple
This means that we strive to collect only the personal data that we need.,none,apple
The personal data Apple collects depends on how you interact with Apple.,none,apple
Descriptions of how Apple handles personal data for certain individual services are available at apple.com/legal/privacy/data.,none,apple
"When you create an Apple Account, apply for commercial credit, purchase and/or activate a product or device, download a software update, register for a class at an Apple Store, connect to our services, contact us (including by social media), participate in an online survey, or otherwise interact with Apple, we may collect a variety of information, including: Account Information.",none,apple
"Your Apple Account and related account details, including email address, devices registered, account status, and age Device Information.",none,apple
"Data from which your device could be identified, such as device serial number, or about your device, such as browser type Contact Information.",none,apple
"Data such as name, email address, physical address, phone number, or other contact information Payment Information.",none,apple
"Data about your billing address and method of payment, such as bank details, credit, debit, or other payment card information Transaction Information.",none,apple
"Data about purchases of Apple products and services or transactions facilitated by Apple, including purchases on Apple platforms Fraud Prevention Information.",none,apple
"Data used to help identify and prevent fraud, including a device trust score Usage Data.",none,apple
"Data about your activity on and use of our offerings, such as app launches within our services, including browsing history; search history; product interaction; crash data, performance and other diagnostic data; and other usage data Location Information.",none,apple
"Precise location only to support services such as Find My or where you agree for region-specific services, and coarse location Health Information.",location,apple
"Data relating to the health status of an individual, including data related to oneʼs physical or mental health or condition.",none,apple
Personal health data also includes data that can be used to make inferences about or detect the health status of an individual.,none,apple
"If you participate in a study using an Apple Health Research Study app, the policy governing the privacy of your personal data is described in the Apple Health Study Apps Privacy Policy.",none,apple
Details relating to your fitness and exercise information where you choose to share them Financial Information.,none,apple
"Details including salary, income, and assets information where collected, and information related to Apple-branded financial offerings Government ID Data.",none,apple
"In certain jurisdictions, we may ask for a government-issued ID in limited circumstances, including when setting up a wireless account and activating your device, for the purpose of extending commercial credit, managing reservations, or as required by law Other Information You Provide to Us.",none,apple
"Details such as the content of your communications with Apple, including interactions with customer support and contacts through social media channels You are not required to provide the personal data that we have requested.",none,apple
"However, if you choose not to do so, in many cases we will not be able to provide you with our products or services or respond to requests you may have.",none,apple
