clause,label,source_policy
"Skip to content Why DataRobot Apps & Agents Platform Resources About Applicant Privacy Policy Last Updated: May 18, 2023 The purpose of this Applicant Privacy Policy (“Policy”) is to provide you with information about how DataRobot, Inc.",none,datarobot_privacy
"(the “Company,” “DataRobot,” “we,” “us” and/or “our”) processes your personal data collected during the recruitment process.",none,datarobot_privacy
This Policy describes the categories of personal information collected by the Company and the purposes for which such information may be collected and used.,none,datarobot_privacy
"This Policy applies to any individuals who submit an application for an advertised position, provide their personal data for general employment inquiries, or otherwise seek to work for DataRobot, regardless of the manner in which you provide your personal data.",none,datarobot_privacy
This Policy applies in addition to our general Privacy Policy.,none,datarobot_privacy
Please refer to the Privacy Policy for our practices related to personal data submitted for other purposes.,none,datarobot_privacy
This Policy may be updated from time to time.,none,datarobot_privacy
"For additional information about the Company’s data privacy practices, please review our Privacy Policy.",none,datarobot_privacy
"Categories of Personal Information Collected During the recruitment process, we may need to collect certain data about you, either from you directly, or from third parties with your approval.",none,datarobot_privacy
This data may include the following: Identifiers and Contact information.,none,datarobot_privacy
"This category includes names, addresses, telephone numbers, mobile numbers, email addresses, signatures, account names, dates of birth, bank account information, and other similar contact information and identifiers.",none,datarobot_privacy
This category includes characteristics of protected classifications under California or federal law.,none,datarobot_privacy
Internet or Other Electronic Network Activity Information.,none,datarobot_privacy
"This category includes, without limitation: all activity on the Company’s information systems, such as internet browsing history, search history, intranet activity, email communications, social media postings, stored documents and emails, usernames and passwords all activity on communications systems, including phone calls, call logs, voice mails, text messages, chat logs, app use, mobile browsing and search history, mobile email communications, and other information regarding an employee’s use of company-issued devices.",none,datarobot_privacy
"This category includes, without limitation, GPS location data from company-owned or issued mobile devices, applications, or vehicles.",location,datarobot_privacy
"Audio, Electronic, Visual, Thermal, Olfactory, or Similar Information.",none,datarobot_privacy
"This category includes, for example, information collected from cameras, thermometers, and similar devices.",none,datarobot_privacy
"This category includes the use of biometric equipment, devices, or software to record your time worked, to enter or exit facilities or rooms, to access or use equipment, or for other business purposes.",none,datarobot_privacy
Professional and Employment-Related Information.,none,datarobot_privacy
"This category includes, without limitation: data submitted with employment applications, including salary history, employment history, employment recommendations, etc.",none,datarobot_privacy
"background check and criminal history work authorization performance and disciplinary records salary and bonus data benefit plan enrollment, participation, and claims information leave of absence information, including religious and family obligations, and physical and mental health data, concerning employees and their family members Education Information.",employment_checks,datarobot_privacy
"This category includes, without limitation, education history.",none,datarobot_privacy
"This category includes sensitive information such as: social security, driver’s license, state identification card, or passport number financial account information that allows access to an account, including log-in credentials, financial account numbers, passwords, etc.",none,datarobot_privacy
"precise geolocation racial or ethnic origin, content of mail, email, and text messages (unless the Company is the intended recipient of the communication) and health information.",none,datarobot_privacy
