clause,label,source_policy
Scope and updates of this User Privacy Notice 2.,none,ebay_privacy
What personal data we collect and process 5.,none,ebay_privacy
Purposes and legal bases for data processing and categories of recipients 6.,none,ebay_privacy
Other important information regarding data protection 12.,none,ebay_privacy
Regional and State Privacy Disclosures Previous User Privacy Notice In our User Privacy Notice we have compiled all essential information about our handling of your personal data and your corresponding rights.,none,ebay_privacy
"This User Privacy Notice is effective from April 21, 2025.",none,ebay_privacy
"Scope and updates of this User Privacy Notice This User Privacy Notice applies to your use of this website and all eBay applications, services (including payment services), products and tools (collectively the ""Services"") provided by eBay Inc.",none,ebay_privacy
"and the companies it directly or indirectly controls are referred to as ""eBay Affiliates"").",none,ebay_privacy
"This User Privacy Notice applies regardless of how you access or use these Services, including access via mobile devices and apps.",none,ebay_privacy
"For additional regional and state disclosures, please see section 13.",none,ebay_privacy
Regional and State Privacy Disclosures below.,none,ebay_privacy
"Learn more about section 1 This User Privacy Notice also applies if reference is made to it via a link or in a similar manner, e.g.",none,ebay_privacy
on websites of partners on which Services from eBay are offered.,none,ebay_privacy
We may change this User Privacy Notice at any time by posting the revised User Privacy Notice on this website and indicating the effective date of the revised User Privacy Notice.,none,ebay_privacy
"As a registered user, you will be notified of any material changes to this User Privacy Notice via My Messages in My eBay and/or by email.",none,ebay_privacy
Controller Which eBay Affiliate is responsible for the collection and processing of your personal data in connection with the provision of the Services depends on how you use our Services.,none,ebay_privacy
"2.1 Use of the Services (except payment services for sellers) Depending on the region in which you reside, one of the following eBay Affiliates is responsible for the collection and processing of your personal data in connection with the provision of our Services (except payment services for sellers).",none,ebay_privacy
"Your region of residence is determined based on your account registration address (where available) or your location (in all other cases): USA: eBay Inc., 2025 Hamilton Avenue, San Jose, CA 95125, USA Canada: eBay Canada Limited, 240 Richmond Street West, 2nd Floor Suite 02-100 Toronto, Ontario, M5V 1V6, Canada EU: eBay GmbH, Albert-Einstein-Ring 2-6, 14532 Kleinmachnow, Germany United Kingdom: eBay (UK) Limited, 1 More London Place, London, SE1 2AF, United Kingdom India: eBay Singapore Services Private Limited, 1 Raffles Quay, #18- 00, Singapore 048583 For all other countries: eBay Marketplaces GmbH, Helvetiastrasse 15/17, 3005 Bern, Switzerland 2.2 Use of the payment services for sellers Depending on the region in which you reside or where your payments are processed, the following eBay Affiliates are responsible for the collection and processing of your personal data in connection with the provision of our payment services to you as a seller: USA: eBay Commerce Inc., 2065 Hamilton Ave., San Jose, CA 95125, USA EEA/CH: eBay S.à r.l., 22-24 Boulevard Royal, L-2449 Luxembourg UK: eBay Commerce UK Ltd., 1 More London Place, London SE1 2AF, United Kingdom Canada: eBay Commerce Canada Limited, 240 Richmond Street West, Toronto, ON M5V 1V6, Canada Australia: eBay Commerce Australia Pty.",none,ebay_privacy
"Ltd., Level 18, 1 York Street, Sydney NSW 2000, Australia For all other countries: eBay Commerce Inc., 2065 Hamilton Ave., San Jose, CA 95125, USA As described in our Payments Terms of Use, your personal data may be processed by one or more of these entities depending on your location and the eBay website on which a user completes a transaction with you.",none,ebay_privacy
