clause,label,source_policy
"Eventbrite Privacy Policy Last Updated: January 27, 2025 To learn more about Eventbrite's Legal Terms, take a look here .",none,eventbrite_privacy
How We Disclose And Transfer Your Personal Data.,none,eventbrite_privacy
"How You Can Access, Update, Correct or Delete Your Personal Data.",none,eventbrite_privacy
"Cookies, Pixels Tags, Local Shared Objects, Web Storage And Similar Technologies.",tracking,eventbrite_privacy
Children - Children's Online Privacy Protection Act.,none,eventbrite_privacy
NOTICE FOR PEOPLE WHO DON’T USE EVENTBRITE SERVICES 1.,none,eventbrite_privacy
We are a ticketing and registration platform dedicated to bringing the world together through live experiences.,none,eventbrite_privacy
"Through our platform, mobile apps and services, we enable people all over the world to create, discover, share and register for events.",none,eventbrite_privacy
"Eventbrite's products, features and offerings are available (a) online through various Eventbrite properties including without limitation, Eventbrite, Eventbrite Communities, Eventbrite Music, Eventbrite Venue, Lanyrd, Rally, Ticketea, Ticketfly, nvite (""Site(s)""); (b) off platform, including without limitation, RFID, entry management, sponsorship and marketing or distribution services; and (c) through mobile applications, webpages, application programming interfaces, and subdomains (""Applications"").",none,eventbrite_privacy
"(a), (b), and (c) are collectively referred to as ""Eventbrite Properties"" or our ""Services"".",none,eventbrite_privacy
"When this Privacy Policy uses the term ""Organizer"" we mean event creators using the Services to create events for consumers using our Services (a) to consume information about, or attend, events (""Consumers""), or (b) for any other reason.",none,eventbrite_privacy
"Organizers, Consumers and third parties using our Services are all referred to in these Terms collectively as ""Users"", ""you"" or ""your"".",none,eventbrite_privacy
"is a Delaware corporation with its principal place of business at 95 Third Street, 2nd Floor, San Francisco, California, 94103, Reg.",none,eventbrite_privacy
"4742147 (""Eventbrite,"" ""us,"" ""we"" or ""our"").",none,eventbrite_privacy
"If you are resident in the EEA or Switzerland, Eventbrite, Inc.",none,eventbrite_privacy
is the responsible party with respect to Personal Data (defined below) collected through the Services.,none,eventbrite_privacy
"Eventbrite EU's representative for European data protection law purposes is Eventbrite Operations (IE) Limited with its principal place of business at 97 South Mall Cork, T12 XV54 Ireland.",none,eventbrite_privacy
"Eventbrite’s UK representative for European data protection law purposes is Eventbrite UK Limited with its principal place of business at The Pavilions, Bridgwater Road, Bristol, England, BS13 8FD.",none,eventbrite_privacy
"If you have any questions or concerns at any time, please do not hesitate to contact us at the address above or by contacting us at privacy@eventbrite.com.",none,eventbrite_privacy
"This Privacy Policy sets forth our policy with respect to information that can be associated with or which relates to a person and/or could be used to identify a person (""Personal Data"") that is collected from Users on or through the Services.",none,eventbrite_privacy
This policy also covers personal data collected from Eventbrite sales customers and prospects.,none,eventbrite_privacy
We take the privacy of your Personal Data seriously.,none,eventbrite_privacy
"Because of that, we have created this Privacy Policy.",none,eventbrite_privacy
Please read this Privacy Policy as it includes important information regarding your Personal Data and other information.,none,eventbrite_privacy
"""Non-Personal Data"" as used in this Privacy Policy is therefore any information that does not relate to a person and/or cannot be used to identify a person.",none,eventbrite_privacy
"When you interact with the Services, we may collect Non-Personal Data.",none,eventbrite_privacy
"The limitations and requirements in this Privacy Policy on our collection, use, disclosure, transfer and storage/retention of Personal Data do not apply to Non-Personal Data.",none,eventbrite_privacy
"When you use or interact with us through the Services or engage with Eventbrite as a sales customer or prospect, we may collect Personal Data.",none,eventbrite_privacy
Sometimes this will be on our own behalf and other times this will be on behalf of an Organizer using our Services to run an event.,none,eventbrite_privacy
This is an important distinction for purposes of certain data protection laws and is explained in more detail below.,none,eventbrite_privacy
3.1 Information Collected From All Users.,none,eventbrite_privacy
"Information you provide to us: For all Users we collect Personal Data when you voluntarily provide such information to the Services, such as when you register for access to the Services, contact us with inquiries, respond to one of our surveys, register for or purchase tickets to an event, or browse or use certain parts of the Services.",none,eventbrite_privacy
"The Personal Data we may collect includes without limitation your name, address, email address, content you have signaled you are interested in (for example, by viewing, clicking, liking, following, or searching on our Services) and any other information that you choose to provide and/or that enables Users to be personally identified.",none,eventbrite_privacy
"Information we automatically collect: We also automatically collect certain technical data that is sent to us from the computer, mobile device and/or browser through which you access the Services (""Automatic Data"").",none,eventbrite_privacy
"Automatic Data, includes without limitation, a unique identifier associated with your access device and/or browser (including, for example, your Internet Protocol (IP) address) characteristics about your access device and/or browser, statistics on your activities on the Services, information about how you came to the Services and data collected through Cookies, Pixel Tags, Local Shared Objects, Web Storage and other similar technologies.",tracking,eventbrite_privacy
We and our vendors use such technologies to collect information on a real-time basis about how you use and navigate our Services.,none,eventbrite_privacy
"This may include information about your browsing behavior, page visits, clicks and cursor movements and searches on our sites.",none,eventbrite_privacy
"The information (including your IP address) collected by these technologies will be disclosed to or collected directly by these vendors, who use the information to help us evaluate your use of the Services.",none,eventbrite_privacy
You can find out more information about how we use Cookies and other similar tracking technologies in our Cookie Statement.,tracking,eventbrite_privacy
"When you register for the Services or otherwise submit Personal Data to us, we may associate other Non-Personal Data (including Non-Personal Data we collect from third parties) with your Personal Data.",none,eventbrite_privacy
"At such instance, we will treat any such combined data as your Personal Data until such time as it can no longer be associated with you or used to identify you.",none,eventbrite_privacy
3.2 Information Collected From Organizers.,none,eventbrite_privacy
If you are an Organizer we will collect additional Personal Data from you.,none,eventbrite_privacy
"Information you provide to us: In some cases, we may collect your credit card information (e.g., your credit card number and expiration date, billing address, etc.), some of which may constitute Personal Data, to secure certain payments.",none,eventbrite_privacy
"In addition, if you use our payment processing services, we will collect financial information from you (e.g., your bank account information or an address to send checks) as necessary to facilitate payments and information required for tax purposes (e.g., your taxpayer identification number).",none,eventbrite_privacy
"When you create an event, we may ask you to provide a phone number and send you a text message to verify your account and prevent fraudulent activity on our Services.",none,eventbrite_privacy
"Information we obtain from other sources: We may also collect or receive Personal Data including your name, email address and other contact information from third party sources, such as third party websites and marketing partners, your bank, our payment processing partners and credit reporting agencies.",data_sharing,eventbrite_privacy
3.3 Information Collected From Consumers.,none,eventbrite_privacy
"If you are a Consumer we will collect additional Personal Data from you, sometimes for our own purposes and other times on behalf of an Organizer (see Section 16 below for more information).",none,eventbrite_privacy
"Information you provide via Eventbrite Properties or Applications: If you register for a paid event, you will provide financial information (e.g., your credit card number and expiration date, billing address, etc.) some of which may constitute Personal Data.",none,eventbrite_privacy
"In addition, Organizers can set up event registration pages to collect virtually any information from Consumers in connection with registration for an Organizer's event listed on the Services.",none,eventbrite_privacy
Eventbrite does not control an Organizer's registration process nor the Personal Data that they collect.,none,eventbrite_privacy
"When you register for, or otherwise provide information to Eventbrite in conjunction with an Organizer event or activity, whether that information is yours or a third party’s, in connection with a purchase, registration, or transfer, that Organizer will receive and may use the information you provide.",data_sharing,eventbrite_privacy
"Please see Section 5.5 below, titled “How We Disclose and Transfer Your Personal Data: Organizers” for more information about an Organizer’s receipt and use of your Personal Data.",none,eventbrite_privacy
"Information we obtain from other sources: We may also collect or receive Personal Data from third party sources, such as Organizers, other Consumers, social media or other third party integrations, your credit card issuing bank, our payment processing partners or other third parties.",data_sharing,eventbrite_privacy
3.4 Information Collected from Sales Clients and Leads.,none,eventbrite_privacy
"If you engage with the Eventbrite sales team we may collect the following: your name, email, address, phone number, and other professional contact information.",none,eventbrite_privacy
"If you engage with the sales team and consent to recording a meeting, the sales team may collect audio and/or video recordings of you.",none,eventbrite_privacy
"We collect and use the Personal Data we collect in a manner that is consistent with this Privacy Policy, and applicable privacy laws.",none,eventbrite_privacy
We may use the Personal Data as follows: 4.1 Specific Reason.,none,eventbrite_privacy
"If you provide Personal Data for a certain purpose, we may use the Personal Data in connection with the purpose for which it was provided.",none,eventbrite_privacy
"For instance, if you contact us by email, we will use the Personal Data you provide to answer your question or resolve your problem and will respond to the email address from which the contact came.",none,eventbrite_privacy
"If you provide Personal Data in order to obtain access to or use of the Services or any functionality thereof, we will use your Personal Data to provide you with access to or use of the Services or functionality and to analyze your use of such Services or functionality.",none,eventbrite_privacy
"For instance, if you supply Personal Data relating to your identity or qualifications to use certain portions of the Services, we will use that information to make a decision as to granting you access to use such Services and to assess your ongoing qualification to use such Services.",none,eventbrite_privacy
"We may use your Personal Data for internal business purposes, including without limitation, to help us improve the content and functionality of the Services, to better understand our Users, to improve the Services, to protect against, identify or address wrongdoing, to enforce our Terms of Service, to manage your account and provide you with customer service, and to generally manage the Services and our business.",none,eventbrite_privacy
"We may use your Personal Data for our marketing and advertising purposes, including (without limitation) by email, SMS marketing, display media, and targeting other devices (such as tablets, mobile devices and televisions).",none,eventbrite_privacy
"We do this in order to inform you about services or events we believe might be of interest to you, develop promotional or marketing materials and display Eventbrite or event-related content and advertising on or off the Services that we believe might be of interest to you.",none,eventbrite_privacy
"We may also do this on behalf of an Organizer, for example where your prior interactions with an Organizer suggest you may be interested in a particular type of event.",none,eventbrite_privacy
"See ""Opt Out from Electronic Communications"" below on how to opt out of various Eventbrite marketing communications.",none,eventbrite_privacy
"You may see advertisements for our Services on third party websites, including on social media platforms.",data_sharing,eventbrite_privacy
We also provide Organizers with tools to help them display advertisements for their events on third party websites and social media platforms.,data_sharing,eventbrite_privacy
"Where you see an advertisement on a third party website or social media platform, this may be because we or the Organizer engaged the third party or social media platform to show the advertisement to Users, or to others who have similar attributes to our Users.",data_sharing,eventbrite_privacy
"In some cases, this involves sharing your email address or other contact details with the third party or social media platform so that they can identify you as one of our Users, or identify other individuals with similar attributes to you in order to show them advertisements for our Services (or for our Organizer’s events).",data_sharing,eventbrite_privacy
If you no longer want your Personal Data to be used for these purposes please contact us at privacy@eventbrite.com.,none,eventbrite_privacy
"In the case of an Organizer’s advertising, you may need to contact the Organizer directly.",none,eventbrite_privacy
"For more information about how we and Organizers market on, and interact with social media sites, please refer to section 5.6.",none,eventbrite_privacy
"We allow Organizers to use our email tools to contact Consumers for their current and past events, so you may receive emails from our system that originate with such Organizers and that we send on their behalf.",none,eventbrite_privacy
"If you registered for an event on the Services, your email address is available to that Organizer.",none,eventbrite_privacy
"However, Organizers may also import the email addresses they have from external sources and send communications through the Services to those email addresses, and we will deliver those communications to those email addresses on the Organizer's behalf.",none,eventbrite_privacy
The Organizer and not Eventbrite is responsible for sending these emails.,none,eventbrite_privacy
"See ""Opt Out from Electronic Communications"" below on how to opt out of Organizer-initiated communications.",none,eventbrite_privacy
"We sometimes make inferences about the type of events or activities you may be interested in based on information you provide in your Eventbrite profile, events attended, and your use of the Services.",none,eventbrite_privacy
"We may use these inferences to help target advertising or customize recommendations to you, including on behalf of Organizers.",none,eventbrite_privacy
"We may do this on an individualized basis, or an aggregated or generalized basis.",none,eventbrite_privacy
"For instance, we may determine that users who follow an organizer’s events collection are more likely to attend future events from that organizer and organizers who host similar events.",none,eventbrite_privacy
We may direct (or assist in directing) content or recommendations related to that organizer or similar organizers.,none,eventbrite_privacy
"If we intend to use any Personal Data in any manner that is not consistent with this Privacy Policy, you will be informed of such anticipated use prior to or at the time the Personal Data is collected or we will obtain your consent subsequent to such collection but prior to such use.",none,eventbrite_privacy
"In an ongoing effort to understand and serve our Users better, we often conduct research on our customer demographics, interests and behavior based on Personal Data and other information that we have collected.",none,eventbrite_privacy
This research is typically conducted on an aggregate basis only that does not identify you.,none,eventbrite_privacy
"Once Personal Data is in an aggregated form, for purposes of this Privacy Policy, it becomes Non-Personal Data.",none,eventbrite_privacy
How We Disclose And Transfer Your Personal Data.,none,eventbrite_privacy
We are not in the business of selling your Personal Data.,none,eventbrite_privacy
We consider this information to be a vital part of our relationship with you.,none,eventbrite_privacy
"Therefore, we will not sell your Personal Data to third parties, including third party advertisers.",data_sharing,eventbrite_privacy
"Some interpretations of the CCPA take the position that when a website uses third parties’ cookies or similar technology for its own analytics or advertising purposes, the website is engaged in a “sale.” For more information, please see the State-Specific Supplemental Privacy Notices available here.",tracking,eventbrite_privacy
"There are certain circumstances in which we may disclose, transfer or share your Personal Data with certain third parties without further notice to you, as set forth in this Privacy Policy.",none,eventbrite_privacy
"As we develop our business, we might sell or buy businesses or assets.",none,eventbrite_privacy
"In the event of a corporate sale, merger, reorganization, dissolution or similar event, Personal Data may be part of the transferred assets.",none,eventbrite_privacy
We may also disclose your Personal Data in the course of due diligence for such an event.,none,eventbrite_privacy
You acknowledge and agree that any successor to or acquirer of Eventbrite (or its assets) will continue to have the right to use your Personal Data and other information in accordance with the terms of this Privacy Policy.,none,eventbrite_privacy
"5.3 Parent Companies, Subsidiaries and Affiliates.",none,eventbrite_privacy
"We may also share your Personal Data with our parent companies, subsidiaries and/or affiliates for purposes consistent with this Privacy Policy.",none,eventbrite_privacy
"Our parent companies, subsidiaries and affiliates will be bound to maintain that Personal Data in accordance with this Privacy Policy.",none,eventbrite_privacy
