clause,label,source_policy
"Help Sign in Privacy Policy Effective: June 7, 2024.",none,grubhub_privacy
This Privacy Policy explains how Grubhub Holdings Inc.,none,grubhub_privacy
"and its subsidiaries and affiliates (“Grubhub”, “we”, “us” or “our”) collect, use, disclose, and otherwise process personal information in connection with our Platform and Services.",none,grubhub_privacy
"Our Platform includes: (i) our websites, including related subdomains, (ii) our mobile, tablet, and other smart device applications, (iii) application program interfaces, (iv) in-store kiosks and other online services, and (v) any other tools, technology, and programs now or in the future; in each case, that reference this Privacy Policy.",none,grubhub_privacy
“Services” includes all services associated with the Platform.,none,grubhub_privacy
"This Privacy Policy does not cover or address: the privacy practices of Merchants available on our Platform, including their authorized licensees and franchisees; branded channel services provided to Merchants, including those provided by our affiliate SCVNGR, Inc.",none,grubhub_privacy
"d/b/a LevelUp (“LevelUp”) (where the data processing is performed on behalf of the Merchants); or our privacy practices relating to the personal information of job applicants, employees, Delivery Partners, and other personnel.",none,grubhub_privacy
"For the LevelUp privacy policy, go here, and for the Delivery Partner privacy policy, go here.",none,grubhub_privacy
"If you see any undefined term in this Privacy Policy, it has the definition specified in our Terms of Use.",none,grubhub_privacy
"By accessing or using the Platform and/or Services, you agree that you have read, understood, and agree to our collection, storage, use, and disclosure of your personal information as described in this Privacy Policy and our Terms of Use.",none,grubhub_privacy
"How We Collect, Use, and Share Your Personal Information 1.1.",none,grubhub_privacy
"Identifiers When you create an Account, complete your Account profile, place an order, sign up for a mailing list, or otherwise communicate or interact with us (whether or not through an Account), we collect identifiers such as your name, address, phone number, and email address.",none,grubhub_privacy
We may also collect identifiers like your name or email address from other people or businesses.,none,grubhub_privacy
"For example, we may receive identifiers (i) from a social network or authentication service, such as Facebook, Amazon, Apple, or Google, if you use those services to login to the Platform; (ii) from other Grubhub users who refer you to our Services or use our group order future; or (iii) from organizations you are part of, such as your employer or university, that use our enterprise services.",none,grubhub_privacy
"Identifiers can also include numbers assigned to you like your IP address or a unique Grubhub account number and information about your device and its software like your browser type, device type/model/manufacturer, operating system, and other similar information.",none,grubhub_privacy
These identifiers are collected or created automatically when you use the Platform.,none,grubhub_privacy
"We may use this information to: (i) create and manage your Account; (ii) facilitate order and delivery services; (iii) communicate with you directly about the Services, including your orders, as well as answer any questions, issues, or concerns you or other users may have; (iv) analyze use of and improve the Platform and our Services; (v) detect and prevent fraud, abuse, or other harmful activities, conduct security investigations and risk assessments, and improve and enforce our security measures; and (vi) send you marketing communications.",none,grubhub_privacy
We may share this information with ad networks and other advertising partners for the purpose of cross-context behavioral advertising.,none,grubhub_privacy
"We may also share this information with other trusted partners, including those that enable you to access offers or promotions by linking or connecting your Grubhub account with account(s) you may hold with the partners.",none,grubhub_privacy
"These trusted partners may use this information to support and market partnership benefits (including by communicating with you), as well as for their internal business purposes such as analytics and product improvement.",none,grubhub_privacy
Any such partner uses will be governed by the partners’ respective privacy policies.,none,grubhub_privacy
"For campus users only, we may provide identifiers to select food service providers that operate restaurants and other food ordering and delivery services on your campus so that they can communicate directly with you and send you personalized communications and marketing.",none,grubhub_privacy
Please see Section 2.1 below for additional information about your choices.,none,grubhub_privacy
"We may also disclose identifiers to our service providers, or for other lawful purposes, as described in greater detail in Section 1.11 below.",none,grubhub_privacy
"Grubhub retains identifiers for as long as you have an account with Grubhub, and for such additional period as Grubhub determines is necessary to comply with its legal obligations and defend against legal claims.",none,grubhub_privacy
"We collect payment information from you, such as credit or debit card details, when you place an order or update your saved payment methods.",none,grubhub_privacy
"We use this information to: (i) fulfill your requests and process payments (e.g., to allow you to order food from Merchants and have it delivered to you); and (ii) detect or prevent fraud, abuse, or other harmful activities.",none,grubhub_privacy
We do not sell payment information to third parties or share it with third parties for cross-context behavioral advertising.,none,grubhub_privacy
"We also do not share this information with third parties for business or commercial purposes, though we may disclose it to our service providers, or for other lawful purposes, as described in greater detail in Section 1.11 below.",none,grubhub_privacy
"Grubhub retains payment information for as long as you have an account with Grubhub, and for such additional period as Grubhub determines is necessary to comply with its legal obligations and defend against legal claims.",none,grubhub_privacy
"Whenever you make purchases on the Platform, we collect commercial information about you, such as your ordering history, purchasing tendencies, and rewards program progress.",none,grubhub_privacy
"This information may be used to (i) facilitate order and delivery services; (ii) analyze use of and improve the Platform and our Services; (iii) detect and prevent fraud, abuse, or other harmful activities, conduct security investigations and risk assessments, and improve and enforce our security measures; (iv) personalize your Grubhub experience, including which Merchants and items we recommend to you and any ads you may see from us; and (v) manage your rewards program progress.",none,grubhub_privacy
We may share commercial information with ad networks and other advertising partners for the purpose of cross-context behavioral advertising.,none,grubhub_privacy
"We may also share this information with other trusted partners, including those that enable you to access offers or promotions by linking or connecting your Grubhub account with account(s) you may hold with the partners.",none,grubhub_privacy
"These trusted partners may use this information to support and market partnership benefits (including by communicating with you), as well as for their internal business purposes such as analytics and product improvement.",none,grubhub_privacy
Any such partner uses will be governed by the partners’ respective privacy policies.,none,grubhub_privacy
Please see Section 2.1 below for additional information about your choices.,none,grubhub_privacy
"We may also disclose commercial information to our service providers, or for other lawful purposes, as described in greater detail in Section 1.11 below.",none,grubhub_privacy
"Grubhub retains commercial information for as long as you have an account with Grubhub, and for such additional period as Grubhub determines is necessary to comply with its legal obligations and defend against legal claims.",none,grubhub_privacy
"When you use the Platform, we collect internet usage information from you automatically, such as information about how you interact with the Platform, your browsing history, and your search history.",none,grubhub_privacy
"Depending on your device and/or browser settings, this information can include the site from which you came to our site, the site to which you are going when you leave our site, the pages you visit on the Platform, the links you click on the Platform, whether you open our emails or click the links we send, whether you access the Platform from multiple devices, page scrolling, and where you click or move your mouse on our website.",none,grubhub_privacy
"We use this information to (i) analyze use of and improve the Platform and our Services; (ii) detect and prevent fraud, abuse, or other harmful activities, conduct security investigations and risk assessments, and improve and enforce our security measures; (iii) personalize your Grubhub experience, including which Merchants and items we recommend to you and any ads you may see from us; (iv) evaluate the success of our advertising and marketing campaigns; and (v) send you marketing communications.",none,grubhub_privacy
"We may collect internet usage information through a variety of tracking technologies, including cookies, web beacons (also known as pixels), embedded scripts, mobile SDKs, location-identifying technologies, and similar technology (collectively, “tracking technologies”), and we may use third-party partners or service providers to assist with this effort, such as Google and Meta (e.g., via the Meta Pixel).",data_sharing,grubhub_privacy
"Information we collect automatically about you or your device may be combined with other personal information we collect directly, and our third-party partners may combine this information with information collected from other devices, websites, or apps.",data_sharing,grubhub_privacy
We may share internet usage information with ad networks and other advertising partners for the purpose of cross-context behavioral advertising.,none,grubhub_privacy
