clause,label,source_policy
"Hulu Logo Login Your US State Privacy Rights Last Updated: October 7, 2025 This page contains additional information relevant to residents of certain US states that have their own data privacy laws and regulations, and associated rights.",none,hulu_privacy
This content should be read in conjunction with our Privacy Policy.,none,hulu_privacy
California Colorado Connecticut Delaware Iowa Maryland Minnesota Montana Nebraska New Hampshire New Jersey Oregon Tennessee Texas Utah Virginia California This notice to California residents is provided under California law.,none,hulu_privacy
"It provides our “Notice at Collection,” explains your privacy rights, and provides certain mandated disclosures about our treatment of California residents’ information, both online and offline.",none,hulu_privacy
"NOTICE AT COLLECTION We may collect the following categories of personal information (as defined in the California Consumer Privacy Act (CCPA) and the California Customer Records statute), including sensitive personal information (as defined in the CCPA), listed in the table below.",none,hulu_privacy
"Category of Personal Information Collected Sold or Shared Identifiers, such as name, email address, username and password, postal address, telephone number, IP address, other similar identifiers Yes Characteristics of protected classifications and demographic information, such as gender, age, race, disability status, sexual orientation, gender identity, military/veteran status, marital status, national origin Yes Commercial information, including information about your interests and consuming history or tendencies, such as Hulu plan(s) considered or purchased; transaction information when you request information, contact Guest Services, or purchase, return, request or exchange a service, including payment card information or other financial information; information provided in response to surveys or other research conducted on our behalf; information you provide in public forums Yes Internet or other electronic network activity information, including information regarding your interactions with us online and your viewing activity on Hulu and information we obtain from third parties about use of our applications on third-party platforms or devices Yes Geolocation data, including precise or approximate location information provided by a mobile device or other device or product interacting with or detected by our sites or applications, where we are permitted by law to process this information Yes Audio, electronic, visual, or similar information, including telephone call recordings No Inferences based on the above Yes We collect this information so that we can best serve you, including to fulfill your requests and to share offers or information that we think you may be interested in.",data_sharing,hulu_privacy
"As further described in the ""Use of Your Information by The Walt Disney Family of Companies"" section in our Privacy Policy, we generally collect and use the above-listed categories of personal information to provide and manage our sites, applications, and services, and for other business or commercial purposes, such as advertising, marketing, and to improve our services.",none,hulu_privacy
Certain data collection on our sites and applications by third parties for purposes of interest-based advertising and personalization may be a “sale” or “sharing” under California privacy law.,none,hulu_privacy
"As defined by California law, we “sold” or “shared” certain data elements within the following categories of personal information: identifiers, demographic information, commercial information, Internet or other electronic network activity information, approximate geolocation, and inferences drawn from the above.",none,hulu_privacy
"If you would like to opt out of the sale or sharing of your personal information, you may click the “Do Not Sell or Share My Personal Information” link in our website footers or in our application settings.",none,hulu_privacy
Please note that your opt-out choice is specific to the digital property and to the device and browser you are using.,none,hulu_privacy
"You may additionally choose to provide the information requested in this opt-out form, which may enable us to take action on your opt-out request more broadly than for a specific digital property.",none,hulu_privacy
"We retain each category of personal information that we collect for as long as necessary to fulfill the purposes described in our Privacy Policy, including to satisfy legal or reporting requirements.",none,hulu_privacy
"What this means in practice will vary for different types of information, but the criteria assessed in the data retention analysis take into account ongoing business or legal needs for the information, for example in relation to tax, health and safety, and potential or actual disputes or investigations.",none,hulu_privacy
"More information, including a description of your legal rights, can be found in the ""Your California Privacy Rights"" section below.",none,hulu_privacy
"ADDITIONAL PRIVACY MANDATORY DISCLOSURES We also make the following disclosures for purposes of compliance with California privacy law: We collected the following categories of personal information in the last 12 months: identifiers, characteristics of protected classifications and demographic information, commercial information, Internet or other electronic network activity information, geolocation data, audio, electronic, visual or similar information, and inferences drawn from the above.",location,hulu_privacy
