clause,label,source_policy
"Indeed's Recruitment Privacy Policy Other Languages: Français, Québécois, Deutsche, 日本語, Italiano, Português, Nederlands, Español, Polski Welcome Indeed’s core mission is to help people get jobs.",none,indeed_hiring_privacy
There are plenty of reasons to come work with us.,none,indeed_hiring_privacy
Indeed values the trust our candidates place in us when they give us access to their personal data.,none,indeed_hiring_privacy
This Recruiting Privacy Policy describes how we work to maintain that trust and protect that information.,none,indeed_hiring_privacy
We’ve recently updated our Recruiting Privacy Policy to ensure we clearly explain how we collect and use personal and non-personal data.,none,indeed_hiring_privacy
Here’s a summary of key updates: We have made changes to the structure and layout of our Privacy Policy to make it easier to read and understand.,none,indeed_hiring_privacy
"We have added more detail about the information we collect, how we use personal data and the legal bases we rely upon to use personal data.",none,indeed_hiring_privacy
We have added more information about data transfers.,none,indeed_hiring_privacy
We encourage you to review the “Last Updated” date below to see when this Privacy Policy was last amended.,none,indeed_hiring_privacy
Any changes to the Privacy Policy become effective on the “Last Updated” date indicated below.,none,indeed_hiring_privacy
"If Indeed is going to use personal data in a manner materially different from that stated at the time of collection, then Indeed will notify users via email and/or by posting a notice on the applicable Sites for 30 days prior to such use or by other means as required by law.",none,indeed_hiring_privacy
"If you wish to object to any new notified processing, you can contact us at privacy-dept@indeed.com.",none,indeed_hiring_privacy
Indeed reserves the right to amend this Privacy Policy at any time.,none,indeed_hiring_privacy
"Indeed’s Recruitment Privacy Policy Last updated: September 2, 2025 Please note Indeed and its affiliates are directly or indirectly owned by a publicly traded Japanese parent company, Recruit Holdings Co.",none,indeed_hiring_privacy
Please also be aware this Privacy Policy covers the handling of your data as a candidate for a role with Indeed.,none,indeed_hiring_privacy
It does not cover your use of Indeed products or services.,none,indeed_hiring_privacy
"To learn more about our data collection practices in our products or services, please see the privacy policy(ies) linked to those products and services.",none,indeed_hiring_privacy
"Introduction This Privacy Policy details how we collect, use, and disclose the personal and non-personal data we collect from and about you when you access or use our online and/or mobile websites, applications, services, and software, interact with us on the phone or in person, or, where permitted by applicable law and in line with this Privacy Policy, that we obtain from publicly available sources or third-party sources.",data_sharing,indeed_hiring_privacy
"Indeed has a responsibility to protect and preserve the private information of every candidate for a role with Indeed, and we take that responsibility seriously.",none,indeed_hiring_privacy
"This Privacy Policy is provided by Indeed, Inc.",none,indeed_hiring_privacy
and its affiliates (‘Indeed’) to inform candidates for roles with Indeed about our activities relative to the handling of personal data concerning candidates (‘candidate personal data’).,none,indeed_hiring_privacy
"This Privacy Policy covers all individuals applying for roles at Indeed or who have expressed a positive interest in a position with Indeed, including applications for all types of permanent and non-permanent positions.",none,indeed_hiring_privacy
1.1 Who is Responsible for Your Information The primary applicable data controller will be the Indeed entity that intends to/enters the employment contract or contract for services with the candidate.,none,indeed_hiring_privacy
UK	Indeed UK Operations Limited Japan	Indeed Technologies Japan K.K.,none,indeed_hiring_privacy
India 	Indeed India Operations Private Limited Canada	Indeed Canada Corp.,none,indeed_hiring_privacy
Germany	Indeed Deutschland GmbH Netherlands	Indeed Netherlands B.V.,none,indeed_hiring_privacy
France	Indeed France SAS Australia	Indeed Australia Pty.,none,indeed_hiring_privacy
Singapore	Indeed Singapore Operations Pte.,none,indeed_hiring_privacy
Belgium	Indeed Belgium Operations BVBA Spain	Indeed Spain Operations S.L.,none,indeed_hiring_privacy
"Switzerland	Indeed Schweiz AG Brazil	Indeed Brasil Pesquisa de Empregos LTDA Mexico	Indeed Mexico, S.",none,indeed_hiring_privacy
Sweden 	Indeed Sweden AB Poland*	Indeed Poland sp.,none,indeed_hiring_privacy
z.o.o *There are currently no employees employed in Poland; 2.,none,indeed_hiring_privacy
"Data Collection and Use 2.1 Information collected During the application, recruitment, or onboarding process at Indeed, we may collect, store, and process the following types of personal data obtained directly from you: What we collect 	How we use it and why we process it 	Legal Basis Contact information – such as name, address, telephone, email address	So that Indeed can arrange for any necessary accommodation access during the recruitment process.",none,indeed_hiring_privacy
Communicating with a candidate during the recruitment and onboarding process.,none,indeed_hiring_privacy
Performance of a contract in order to recruit and onboard a candidate.,none,indeed_hiring_privacy
Legitimate interest in managing our business; for the purposes of approaching candidates in relation to roles.,none,indeed_hiring_privacy
