clause,label,source_policy
"Privacy Center Last Updated: December 12, 2024 Marriott Group Global Privacy Statement The Marriott Group values you as our guest and recognizes that privacy is important to you.",none,marriot_privacy
"We want you to be familiar with how we collect, use, and disclose your Personal and Other Data (collectively, “Data”).",none,marriot_privacy
"Data Covered by this Privacy Statement The Data We Collect The Online and Mobile Data We Collect How and Where We Collect Your Data Why We Collect Your Data How and When We Share Your Data Your Data, Your Choices: Your Privacy Preferences & Rights Other Important Provisions Contact Us Related Links U.S.",data_sharing,marriot_privacy
Consumer Privacy Statement Read the Marriott Group U.S.,none,marriot_privacy
Washington and Nevada Consumer Health Data Privacy Statement Read the Marriott Group Washington and Nevada Consumer Health Data Privacy Statement.,none,marriot_privacy
"Privacy Preferences At Marriott, we respect your privacy and want to provide you with the options, information, and choices below to express your preferences: what and how much you share with us and when and how you hear from us.",none,marriot_privacy
"Cookie Preferences Communication Preferences Your Privacy Choices & Individual Rights Languages DATA COVERED BY THIS PRIVACY STATEMENT This Privacy Statement describes the privacy practices of the Marriott Group for Data that we collect: through websites operated by us from which you can access this Privacy Statement, including Marriott.com and other websites owned or controlled by the Marriott Group (collectively, our Websites); through the software applications (including automated tools and chat functionalities) made available by us for use on or through computers and mobile devices (collectively, our Apps); through our social media pages that we control from which you can access this Privacy Statement (collectively, our Social Media Pages); through email messages that we send you that link to this Privacy Statement and through your communications with us online or in person; from third parties such as Authorized Licensees, Advertising Partners, Owners, and Franchisees, and from Other Sources, such as public databases, marketing partners, and other third parties; and when you visit or stay as a guest at one of our properties, or at homes and villas offered on the Homes and Villas by Marriott International platform (Homes and Villas), or through other offline interactions (collectively, Property Visits and Offline Interactions).",none,marriot_privacy
"Collectively, we refer to our Websites, our Apps, and our Social Media Pages, as the “Online Services” and, together with the Property Visits and Offline Interactions, the “Services”.",none,marriot_privacy
"Back to top THE DATA WE COLLECT At touchpoints throughout your guest journey, we collect Personal Data in accordance with the law, and to provide you with exemplary services.",none,marriot_privacy
Personal Data is information that may identify you as an individual or relate to you as an identifiable individual.,none,marriot_privacy
"We collect and process the following types of Personal Data about you: General Identifying Information Including full name, postal address, e-mail address, telephone number, social media account ID, profile photo and other data made publicly available, or data made available by linking your social media and loyalty accounts, or other similar identifiers.",none,marriot_privacy
"Demographic Information and Important Dates Including gender, language preferences, nationality, birthdays, anniversaries, or special occasions.",none,marriot_privacy
"Government-Issued Identification Including passport, visa, or other government-issued identification (and the Personal Data contained therein).",none,marriot_privacy
"Financial Information Including credit, debit, or other payment data.",none,marriot_privacy
"Loyalty Program Information Including membership or loyalty program data, co-branded payment cards information, and travel partner program affiliations.",none,marriot_privacy
"Travel Information Including prior guest stays or interactions (including interactions via our chat functionalities), goods and services purchased, special service and amenity requests, travel itinerary, tour group information, activity data, or employer details (for business-related bookings).",none,marriot_privacy
"Claims Information Including insurance information, emergency contacts, complaints, or employment details (for worker’s compensation claims).",none,marriot_privacy
"In more limited circumstances, we may also collect: Data about family members and companions (including names, and ages of children); Biometric data; and Images, videos, and audio data via: (a) recordings of your voice (such as when we record customer service calls for quality assurance); (b) security cameras located in public areas, such as hallways and lobbies, in our properties; and (c) body-worn cameras carried by our loss prevention officers and other security personnel.",none,marriot_privacy
"We may also collect information about your ""Preferences"" that you provide to us or that we learn about you during your stay, in order to make your current and future stays and experience with us more enjoyable.",none,marriot_privacy
"These include your “Interests and Passions”, such as whether you are a golf or spa enthusiast and what type of other activities you prefer to take part in when staying with us; your “Food and Beverage” Preferences, which may include your health restrictions or personal needs so that we can provide for your wellbeing; and your “Room and Stay” Preferences, which include room options, amenities and any likes and dislikes so that we can improve the Services.",none,marriot_privacy
"Other Preferences may also include details about who you usually travel with, their relationship to you, special dates such as anniversaries and birthdays, and your marital status.",none,marriot_privacy
"If you submit any Personal Data about other people to us (e.g., if you make a reservation for another individual), you represent that you have the authority to do so and you permit us to use the data in accordance with this Privacy Statement.",none,marriot_privacy
Back to top THE ONLINE AND MOBILE DATA WE COLLECT We may also collect “Other Data” that does not directly identify you.,none,marriot_privacy
"To the extent Other Data reveal your specific identity or relate to an individual, or is combined with Personal Data, we will treat Other Data as Personal Data.",none,marriot_privacy
"Other Data includes: System Data: When you use both desktop and mobile devices to access the Online Services, we collect certain data through your browser or automatically through your device, such as your computer type, screen resolution, operating system name and version, device manufacturer and model, language, internet browser type and version and the name and version of the Online Services you are using.",none,marriot_privacy
"IP Address: We also collect your IP address, a number that is automatically assigned to the device that you are using by your Internet Service Provider (ISP).",none,marriot_privacy
"An IP address is identified and logged automatically in our server log files when a user accesses the Online Services, along with the time of the visit and the pages that were visited.",none,marriot_privacy
"We use IP addresses to calculate usage levels, diagnose server problems and administer the Online Services.",none,marriot_privacy
We also may derive your approximate location from your IP address.,none,marriot_privacy
"Precise Location-Based Services: With your consent, we may collect the precise geolocation of your device by using satellite, cell phone tower, Wi-Fi signals, or other technologies.",location,marriot_privacy
"We will collect this data if you opt-in through the App or other program (either during your initial login or later) to improve special offers and to enable location-driven capabilities on your device, such as to find nearby hotels, locate airport shuttles, show maps, and provide directions.",none,marriot_privacy
"If you have opted-in to share your location, the App or other program will continue to collect location data based on how you choose to share the data.",location,marriot_privacy
