clause,label,source_policy
"Privacy Policy Effective as of 06/10/2025 This Privacy Policy describes the privacy practices of Snorkel AI, Inc.",none,snorkel_ai
"(""Snorkel AI"", ""we"", ""us"" or ""our"") and how we handle personal information that we collect through our website (the ""Service""), as well as through social media, our marketing activities, and other activities described in this Privacy Policy.",none,snorkel_ai
Snorkel AI may provide additional or supplemental privacy policies to individuals for specific products or services that we offer at the time we collect personal information.,none,snorkel_ai
"Our websites, products and services are designed for businesses and other academic and government entities and their representatives.",none,snorkel_ai
"We do not offer products or services for use by individuals for their personal, family or household purposes.",none,snorkel_ai
"Accordingly, we treat all personal information we collect as pertaining to individuals in their capacities as business representatives and not their individual capacities.",none,snorkel_ai
You can download a printable copy of this Privacy Policy here.,none,snorkel_ai
Index Personal information we collect How we use your personal information How we share your personal information Your choices Other sites and services Security International data transfer Children Changes to this Privacy Policy How to contact us Information for California residents Notice to European users Personal information we collect Information you provide to us.,none,snorkel_ai
"Personal information you may provide to us through the Service or otherwise includes: Commercial Information, such as products or services you have purchased, obtained, or considered, as well as other information related to your purchasing or consuming history.",none,snorkel_ai
"Contact data, such as email address, phone number and mailing address.",none,snorkel_ai
"Communications that we exchange with you, including when you contact us with questions or feedback, through the Service, social media, or otherwise.",none,snorkel_ai
"Demographic Information, such as your city, state, country of residence, postal code, and age.",none,snorkel_ai
"Financial data, such as your bank account and payment card details.",none,snorkel_ai
"Identity data, such as your first and last name, and customer identification number.",none,snorkel_ai
"Marketing data, such as your preferences for receiving our marketing communications and details about your engagement with them.",none,snorkel_ai
"Professional or employment information, such as your current job title and Company name.",none,snorkel_ai
"Other data not specifically listed here, which we will use as described in this Privacy Policy or as otherwise disclosed at the time of collection.",none,snorkel_ai
"We, our service providers, and our business partners may automatically log information about you, your computer or mobile device, and your interaction over time with the Service, our communications and other online services, such as: Device data, such as your computer's or mobile device's operating system type and version, manufacturer and model, browser type, screen resolution, RAM and disk size, CPU usage, device type (e.g., phone, tablet), IP address, unique identifiers (including identifiers used for advertising purposes), language settings, mobile device carrier, radio/network information (e.g., Wi-Fi, LTE, 3G), and general location information such as city, state or geographic area.",none,snorkel_ai
"Online activity data, such as pages or screens you viewed, how long you spent on a page or screen, the website you visited before browsing to the Service, navigation paths between pages or screens, information about your activity on a page or screen, access times and duration of access, and whether you have opened our marketing emails or clicked links within them.",none,snorkel_ai
Location data when you authorize (our mobile application/the Service) to access your device's location.,location,snorkel_ai
Some of our automatic data collection is facilitated by cookies and similar technologies.,tracking,snorkel_ai
"For more information, see our Cookie Notice.",none,snorkel_ai
"Like many online services, we use the following technologies: Cookies, which are text files that websites store on a visitor's device to uniquely identify the visitor's browser or to store information or settings in the browser for the purpose of helping you navigate between pages efficiently, remembering your preferences, enabling functionality, helping us understand user activity and patterns, and facilitating analytics and online advertising.",tracking,snorkel_ai
"Local storage technologies, like HTML5 and Flash, that provide cookie-equivalent functionality but can store larger amounts of data, including on your device outside of your browser in connection with specific applications.",none,snorkel_ai
"Web beacons, also known as pixel tags or clear GIFs, which are used to demonstrate that a webpage or email address was accessed or opened, or that certain content was viewed or clicked.",none,snorkel_ai
How we use your personal information We may use your personal information for the following purposes or as otherwise described at the time of collection: Service delivery.,none,snorkel_ai
"We may use your personal information to: provide, operate and improve the Service and our business; enable security features of the Service, such as remembering devices from which you have previously logged in; communicate with you about the Service, including by sending announcements, updates, security alerts, and support and administrative messages; understand your needs and interests, and personalize your experience with the Service and our communications; provide support for the Service, and respond to your requests, questions and feedback.",none,snorkel_ai
"We may use your personal information for research and development purposes, including to analyze and improve the Service and our business.",none,snorkel_ai
"As part of these activities, we may create aggregated, de-identified or other anonymous data from personal information we collect.",none,snorkel_ai
We make personal information into anonymous data by removing information that makes the data personally identifiable to you.,none,snorkel_ai
"We may use this anonymous data and share it with third parties for our lawful business purposes, including to analyze and improve the Service and promote our business.",none,snorkel_ai
"We, our service providers and our third-party partners may collect and use your personal information for marketing purposes: Direct marketing.",data_sharing,snorkel_ai
We may send you Snorkel AI-related or other direct marketing communications as permitted by law.,none,snorkel_ai
You may opt-out of our marketing communications as described in the Opt-out of marketing section below.,none,snorkel_ai
"We may use your personal information to: comply with applicable laws, lawful requests, and legal process, such as to respond to subpoenas or requests from government authorities; protect our, your or others' rights, privacy, safety or property (including by making and defending legal claims); audit our internal processes for compliance with legal and contractual requirements or our internal policies; enforce the terms and conditions that govern the Service; prevent, identify, investigate and deter fraudulent, harmful, unauthorized, unethical or illegal activity, including cyberattacks and identity theft.",none,snorkel_ai
"In some cases, we may specifically ask for your consent to collect, use or share your personal information, such as when required by law.",none,snorkel_ai
"To create anonymous, aggregated or de-identified data.",none,snorkel_ai
"We may create anonymous, aggregated or de-identified data from your personal information and other individuals whose personal information we collect.",none,snorkel_ai
"We make personal information into anonymous, aggregated or de-identified data by removing information that makes the data identifiable to you.",none,snorkel_ai
"We may use this anonymous, aggregated or de-identified data and share it with third parties for our lawful business purposes, including to analyze and improve the Service and promote our business.",none,snorkel_ai
How we share your personal information We may share your personal information with the following parties and as otherwise described in this Privacy Policy or at the time of collection.,none,snorkel_ai
"Our corporate parent, subsidiaries, and affiliates, for purposes consistent with this Privacy Policy.",none,snorkel_ai
"Third parties that provide services on our behalf or help us operate the Service or our business (such as hosting, information technology, customer support, email delivery, marketing, and website analytics).",none,snorkel_ai
"Third parties with whom we collaborate on joint activities, or with whom we have entered into joint marketing relationships or other joint ventures.",none,snorkel_ai
"Professional advisors, such as lawyers, auditors, bankers and insurers, where necessary in the course of the professional services that they render to us.",none,snorkel_ai
"Law enforcement, government authorities, and private parties, as we believe in good faith to be necessary or appropriate for the compliance and protection purposes described above.",none,snorkel_ai
"Acquirers and other relevant participants in business transactions (or negotiations and diligence for such transactions) involving a corporate divestiture, merger, consolidation, acquisition, reorganization, sale or other disposition of all or any portion of the business or assets of, or equity interests in, Snorkel AI or our affiliates (including, in connection with a bankruptcy or similar proceedings).",none,snorkel_ai
"SMS Communications By providing your phone number, you consent to receive communications from Snorkel AI via SMS or phone call, including service updates and relevant information about your relationship with Snorkel AI.",none,snorkel_ai
You may opt out at any time by replying STOP to a message or emailing expert@snorkel.ai.,none,snorkel_ai
Your choices You have the following choices with respect to your personal information.,none,snorkel_ai
"You may opt-out of marketing-related emails by following the opt-out or unsubscribe instructions at the bottom of the email, or by contacting us.",none,snorkel_ai
"Please note that if you choose to opt-out of marketing-related emails, you may continue to receive service-related and other non-marketing emails.",none,snorkel_ai
"For information about cookies employed by the Service and how to control them, see our Cookie Notice.",tracking,snorkel_ai
You can disable our access to your device's precise geolocation in your mobile device settings.,none,snorkel_ai
"Some Internet browsers may be configured to send ""Do Not Track"" signals to the online services that you visit.",tracking,snorkel_ai
"We currently do not respond to ""Do Not Track"" or similar signals.",tracking,snorkel_ai
"To find out more about ""Do Not Track"" please visit http://www.allaboutdnt.com.",tracking,snorkel_ai
We need to collect personal information to provide certain services.,none,snorkel_ai
"If you do not provide the information we identify as required or mandatory, we may not be able to provide those services.",none,snorkel_ai
"Other sites and services The Service may contain links to websites, mobile applications, and other online services operated by third parties.",none,snorkel_ai
"In addition, our content may be integrated into web pages or other online services that are not associated with us.",none,snorkel_ai
"These links and integrations are not an endorsement of, or representation that we are affiliated with, any third party.",data_sharing,snorkel_ai
"We do not control websites, mobile applications or online services operated by third parties, and we are not responsible for their actions.",none,snorkel_ai
We encourage you to read the privacy policies of the other websites and mobile applications and online services you use.,none,snorkel_ai
"Security We employ a number of technical, organizational and physical safeguards designed to protect the personal information we collect.",none,snorkel_ai
"However, security risk is inherent in all internet and information technologies and we cannot guarantee the security of your personal information.",none,snorkel_ai
International data transfer We are headquartered in the United States and may use service providers that operate in other countries.,none,snorkel_ai
"Your personal information may be transferred to the United States or other locations where privacy laws may not be as protective as those in your state, province, or country.",none,snorkel_ai
Children The Service is not intended for use by children under 16 years of age.,none,snorkel_ai
"If we learn that we have collected personal information through the Service from a child under 16 without the consent of the child’s parent or guardian as required by law, we will delete it.",none,snorkel_ai
We encourage parents or guardians with concerns to contact us.,none,snorkel_ai
Changes to this Privacy Policy We reserve the right to modify this Privacy Policy at any time.,none,snorkel_ai
"If we make material changes to this Privacy Policy, we will notify you by updating the date of this Privacy Policy and posting it on the Service.",none,snorkel_ai
"If required by law we will also provide notification of changes in another way that we believe is reasonably likely to reach you, such as via email or another manner through the Service.",none,snorkel_ai
Any modifications to this Privacy Policy will be effective upon our posting the modified version (or as otherwise indicated at the time of posting).,none,snorkel_ai
"In all cases, your use of the Service after the effective date of any modified Privacy Policy indicates your acceptance of the modified Privacy Policy.",none,snorkel_ai
"How to contact us If you have any questions or concerns at all about our Privacy Policy, please feel free to email us at: Email: privacy@snorkel.ai Mail: Perry St., Redwood City, CA, 94063 Information for California residents Scope.",none,snorkel_ai
This section applies only to California residents.,none,snorkel_ai
"It describes how we collect, use, and share Personal Information of California residents in our capacity as a ""business"" under the California Consumer Privacy Act (""CCPA"") and their rights with respect to that Personal Information.",none,snorkel_ai
"For purposes of this section, the term ""Personal Information"" has the meaning given in the CCPA but does not include information exempted from the scope of the CCPA.",none,snorkel_ai
"In some cases, we may provide a different privacy notice to certain categories of California residents, such as job applicants, in which case that notice will apply instead of this section.",none,snorkel_ai
"As a California resident, you have the rights listed below.",none,snorkel_ai
"However,these rights are not absolute, and in certain cases we may decline your request as permitted by law.",none,snorkel_ai
Information.You can request the following information about how we have collected and used your Personal Information during the past 12 months: The categories of Personal Information that we have collected.,none,snorkel_ai
The categories of sources from which we collected Personal Information.,none,snorkel_ai
The business or commercial purpose for collecting and/or selling Personal Information.,none,snorkel_ai
The categories of third parties with whom we share Personal Information.,none,snorkel_ai
The categories of Personal Information that we sold or disclosed for a business purpose.,none,snorkel_ai
The categories of third parties to whom the Personal Information was sold or disclosed for a business purpose.,none,snorkel_ai
You can request a copy of the Personal Information that we have collected about you during the past 12 months.,none,snorkel_ai
You can ask us to delete the Personal Information that we have collected from you.,none,snorkel_ai
You can opt-out any sale of your Personal Information.,none,snorkel_ai
"If we know that you are under 16 years of age, we will ask for your affirmative authorization to sell your Personal Information before we do so.",none,snorkel_ai
You are entitled to exercise the rights described above free from discrimination as prohibited by the CCPA.,none,snorkel_ai
"Right to information, access and deletion.",none,snorkel_ai
"You may submit requests to exercise your right to information, access or deletion by calling us at 650-752-6970 or sending an email to privacy@snorkel.ai.",none,snorkel_ai
"Notice of right to opt-out of the ""sale"" of your Personal Information.",none,snorkel_ai
We have not sold Personal Information in the past 12 months.,none,snorkel_ai
"We will need to verify your identity to process your information, access and deletion requests and reserve the right to confirm your California residency.",none,snorkel_ai
"To verify your identity, we may require government identification, a declaration under penalty of perjury or other information.",none,snorkel_ai
Your authorized agent may make a request on your behalf upon our verification of the agent's identity and our receipt of a copy of a valid power of attorney given to your authorized agent pursuant to California Probate Code Sections 4000-4465.,none,snorkel_ai
"If you have not provided your agent with such a power of attorney, you must provide your agent with written and signed permission to exercise your CCPA rights on your behalf, provide the information we request to verify your identity, and provide us with confirmation that you have given the authorized agent permission to submit the request.",none,snorkel_ai
"Personal information that we collect, use and disclose.",none,snorkel_ai
"The chart below summarizes the Personal Information we collect by reference to the categories of Personal Information specified in the CCPA, and describes our practices currently and during the 12 months preceding the effective date of this Privacy Policy.",none,snorkel_ai
"Information you voluntarily provide to us, such as in free-form webforms, may contain other categories of personal information not described below.",none,snorkel_ai
Statutory category of personal information (PI) (Cal.,none,snorkel_ai
