clause,label,source_policy
"Privacy Policy & Data Options Last Updated: August 19, 2025.",none,southwest_privacy
"General Terms & Conditions Copyright Complaint Incorporated Terms User Content and Conduct Policy Privacy Policy & Data Options Rapid Rewards Terms & Conditions SWABIZ Terms of Service Getaways by Southwest™ Terms & Conditions Terms of Use Travel Agency Information Text Message Terms Careers Terms & Conditions Mexican Privacy Policy Southwest Hotels Privacy Policy Index Transfer of Information Information Collection Use of Information Sharing of Information Information You Disclose Publicly or to Others Rapid Rewards®, Sweepstakes, Contests, and Surveys Advertising & Analytics Services and Online Tracking Social Features Refer-a-Friend Third Party Websites TSA Guidelines Touch ID Your Choices Personal Information Requests Children Data Security Changes to This Privacy Policy Contact Us Individuals from the European Economic Area, Switzerland, and the United Kingdom This Privacy Policy describes how Southwest Airlines Co., P.O.",data_sharing,southwest_privacy
"Box 36647 TOP-1CR, Dallas, Texas 75235 (""Southwest,"" ""Company,"" ""we,"" or ""us"") collects, uses and shares information in connection with Southwest's services, programs, systems, websites, and apps that refer or link to the Privacy Policy (collectively, the ""Services"").",none,southwest_privacy
See Section 19 for additional information for those outside the United States who use our Services.,none,southwest_privacy
This Privacy Policy is not a contract and does not create any legal rights or obligations.,none,southwest_privacy
"Transfer of Information The information we collect from you may be transferred to, stored at, and processed in destinations outside of the country in which you are located, and may be accessible to the governments of such destinations.",none,southwest_privacy
"This includes processing by us, our affiliates, our third party payment processing companies and other third parties described in the Sharing of Information section below.",data_sharing,southwest_privacy
It is our objective to take steps reasonably necessary to help secure your information and to treat your information that we have collected in accordance with this Privacy Policy.,none,southwest_privacy
Information Collection Information You Provide to Us We collect information you provide directly to us.,none,southwest_privacy
"For example, we collect information when you use our Services, book travel, register for our Services or set up a Southwest account, SWABIZ® account, Southwest Cargo account, or Rapid Rewards® account, subscribe to our e-mails, mobile messages, or social media notifications, post on our forums or blogs, participate in the Rapid Rewards® Program, a sweepstakes, contest, promotion, survey, or poll, communicate with us via third party social media sites, shop our Services, order physical or digital gift cards, request customer support, apply for a job or otherwise communicate with us through the Services.",data_sharing,southwest_privacy
"We and our agents, vendors, and service providers may record, monitor, process, and retain communications and associated information, including emails, chats, calls, and texts.",none,southwest_privacy
We may use chatbot technology and other automated methods of communication.,none,southwest_privacy
The types of information we may collect include Personal Information.,none,southwest_privacy
"""Personal Information"" is information that could reasonably be linked with a particular individual or household, including identifiers such as your first and last name, e-mail address, zip code, billing address, shipping address, and phone number, payment card information, social media account information, travel preferences, birth date, redress number, purchase and preference information, location information, and demographic information.",none,southwest_privacy
"The “Personal Information” we collect also may include sensitive information, such as present and future health status, to allow us to better serve your needs (for example, to assist you with boarding a flight if you need a wheelchair or with meeting safety requirements), citizenship, username and password, government issued ID number, precise geolocation, and genetic or biometric information.",none,southwest_privacy
"You may choose to voluntarily submit certain other information to us through the Services, including Personal Information, but you are solely responsible for the information that you submit to us.",none,southwest_privacy
"Using the other pieces of Personal Information collected about you, we may draw certain inferences about you.",none,southwest_privacy
"If you apply for or inquire about employment with us, “Personal Information” may also include your education, occupation, employment history, and any other information submitted as part of your application or inquiry.",none,southwest_privacy
"This Privacy Policy is not intended to be a substitute for disclosure or authorization obligations regarding background checks, which may be required under the Fair Credit Reporting Act or similar laws.",employment_checks,southwest_privacy
"If we conduct a background check on you, at that time we will provide you with separate disclosure and authorization forms informing you of our intent to check your background, and requesting your consent to do so.",employment_checks,southwest_privacy
"Back to Top Information We Collect Automatically We and our agents, vendors, and service providers automatically collect certain information from and about you when you access or use our Services.",none,southwest_privacy
"This information may include, without limitation, demographic information; IP address; browser/device/hardware type; operating system characteristics; information about your use of our Services; and data regarding network connected hardware (e.g., computer or mobile device), such as unique device identifiers, type, model, version, MAC address, device or session ID, error related data status, capability, confirmation, functionality, performance data, and connection type.",tracking,southwest_privacy
"This information may also include clickstream data, which is information about the page-by-page paths you take as you browse through the Services.",none,southwest_privacy
"We and our agents, vendors, and service providers may use session replay and other technologies to collect page interaction information and other electronic communications and content from your use of the Services (such as content entry, mouse movements, screen captures, the date, time, and location of your visit, what areas of the Services you visit and for how long, what search terms or other data you enter, and what content you view and click on), and methods used to browse away from the Services.",none,southwest_privacy
"This information is gathered by certain tools and methods such as: Log Information: We and our agents, vendors, and service providers collect information about your use of our Services, such as the type of browser you use, access times, pages viewed, your IP address and the referring link through which you accessed our Services.",none,southwest_privacy
"Information Collected by Cookies and Other Technologies: We and our agents, vendors, and service providers may use cookies, web beacons (also known as ""tracking pixels""), embedded scripts, location-identifying technologies, in-app tracking methods, and other tracking technologies to collect information about you when you interact with our Services or e-mails, including information about your browsing and purchasing behavior.",tracking,southwest_privacy
"We and our agents, vendors, and service providers may combine this information with other information about you and use it for various purposes, such as analyzing and improving our Services and your online experience, understanding which areas and features of our Services are popular, counting visits, understanding campaign effectiveness, tailoring communications with you, determining whether an e-mail has been opened and/or links within the e-mail have been clicked, and for other internal business purposes.",none,southwest_privacy
"Please note that, in accordance with local legal requirements, in some territories you will be presented with a notice which will contain more information about the technologies we use and provide you with a means to select and manage your preferences in addition to the options set out below.",none,southwest_privacy
Cookies: Cookies are data files that are placed on a computer when it is used to visit a website.,tracking,southwest_privacy
"These cookies may be used for many purposes, including, without limitation, tracking user preferences or web pages visited while using our Services.",tracking,southwest_privacy
Some web browsers are set to accept cookies by default.,tracking,southwest_privacy
"If you prefer, you can usually set your browser to remove or reject certain cookies.",tracking,southwest_privacy
"Please note that if you choose to remove or reject cookies, this could affect the availability and functionality of our Services.",tracking,southwest_privacy
"For example, cookies allow us and our agents, vendors, and service providers to store items in your cart between visits.",tracking,southwest_privacy
"In addition, please be aware that if you choose to block cookies, some preferences that are dependent on cookies may not be able to be respected.",tracking,southwest_privacy
"Web Beacons: We and our agents, vendors, and service providers may include small graphic images called web beacons, also known as ""Internet tags"" or ""clear gifs,"" in our web pages and e-mail messages.",none,southwest_privacy
"We and our agents, vendors, and service providers may use web beacons or similar technologies for a number of purposes, including, without limitation, to count the number of visitors to our Service, to monitor how users navigate the Services, and to count how many e-mails that we sent were actually opened or how many particular articles or links were actually viewed.",none,southwest_privacy
Embedded Scripts: An embedded script is programming code that is designed to collect information about your interactions with the Services.,none,southwest_privacy
