clause,label,source_policy
"Overview These Terms of Use (“Terms”) govern your use of Live Nation and Ticketmaster’s websites and applications—including (without limitation) livenation.com, ticketmaster.com, and ticketexchangebyticketmaster.com—and your purchase, possession, sale, acceptance, or use of any of our tickets, products, or services (our “Marketplace,” defined in Section 1, below).",none,ticketmaster_TOU
"Our other policies—including our Standard Purchase Policy, Resale Purchase Policy, Travel & Experiences Policy, Transfer Recipient Policy, Reseller Policy, and Privacy Policy (collectively “Other Policies”)—are also incorporated into these Terms.",none,ticketmaster_TOU
"NOTICE REGARDING ARBITRATION AND CLASS ACTION WAIVER: The Terms contain an arbitration agreement and class action waiver—along with some limited exceptions—in Section 14, below.",arbitration,ticketmaster_TOU
"Specifically, you and we agree that any dispute or claim relating in any way to the Terms, your use of the Marketplace, or products or services sold, distributed, issued, or serviced by us or through us, will be resolved by binding arbitration, rather than in court.",arbitration,ticketmaster_TOU
"This updated arbitration agreement and class action waiver applies to all such disputes or claims between us, except those already filed and currently pending as of August 12, 2025.",arbitration,ticketmaster_TOU
"For all such matters pending as of August 12, 2025, this updated agreement and waiver will not alter the rights and obligations that currently exist in those matters, such that those matters may or may not be subject to arbitration, and if the former, will remain governed by any applicable arbitration agreement or agreements that currently exist between the parties in those matters.",none,ticketmaster_TOU
"By agreeing to arbitration, you and we each waive any right to participate in a class action lawsuit or class action arbitration, except those already filed and currently pending as of August 12, 2025.",arbitration,ticketmaster_TOU
"NOTICE REGARDING FUTURE CHANGES TO TERMS: From time to time, we may update these Terms and our Other Policies, as detailed in Section 11, below.",none,ticketmaster_TOU
Any changes we make will only be binding on you if and when you agree to the updated Terms.,none,ticketmaster_TOU
"The Effective Date above will tell you when the Terms were last revised, and the Download Prior Version link will take you to the prior version of the Terms.",none,ticketmaster_TOU
"To the extent that these Terms have been updated from a prior version of the Terms to which you previously agreed, the most recent version of the Terms to which you agreed supersedes and governs.",none,ticketmaster_TOU
"This is a Contract Between You and Us These Terms are a legally binding agreement between you, the user (“you” or “your”), and us.",none,ticketmaster_TOU
"We use the terms “us,” “we,” and “our” to collectively refer to Ticketmaster LLC (“Ticketmaster”), Live Nation Entertainment, Inc.",none,ticketmaster_TOU
"(“Live Nation”), and all of Ticketmaster and Live Nation’s parents, subsidiaries, and affiliates.",none,ticketmaster_TOU
"A list of Live Nation’s subsidiaries (which includes Live Nation Worldwide, Inc.",none,ticketmaster_TOU
"and Ticketmaster, among others) is available in Live Nation’s most recent 10-K report, which is publicly available at https://investors.livenationentertainment.com/sec-filings/annual-reports.",none,ticketmaster_TOU
You and we are each a “party” and collectively we are the “parties” to the contract.,none,ticketmaster_TOU
"“Marketplace” refers to our websites and mobile applications—including (without limitation) livenation.com, ticketmaster.com, and ticketexchangebyticketmaster.com—and to our tickets, products, and services.",none,ticketmaster_TOU
"Other Policies In addition to these Terms, we have Other Policies that apply to your use of the Marketplace and are incorporated by reference into these Terms—specifically: The Standard Purchase Policy explains your rights and responsibilities when purchasing standard (primary) tickets and associated products and services, and when purchasing a gift card or using a gift card to make a purchase on the Marketplace.",none,ticketmaster_TOU
“Standard Tickets” are tickets that are being sold for the first time on behalf of the Event Organizer and where Ticketmaster is the primary ticketing service provider.,none,ticketmaster_TOU
The Resale Purchase Policy explains your rights and responsibilities when purchasing resale (secondary) tickets and associated products and services on the Marketplace.,none,ticketmaster_TOU
"On our seat maps, resale tickets are marked as either Verified Resale tickets or Resale Tickets (collectively referred to as “resale tickets”).",none,ticketmaster_TOU
"If you’re buying or bought a resale ticket, this policy applies to you.",none,ticketmaster_TOU
The Travel & Experiences Policy explains your rights and responsibilities when purchasing a travel experience package on the Marketplace.,none,ticketmaster_TOU
"The Transfer Recipient Policy explains your rights and responsibilities when you accept a Ticket Transfer, including a transfer or assignment of a ticket or an Extra.",none,ticketmaster_TOU
The Reseller Policy explains your rights and responsibilities when posting or selling tickets on the Marketplace.,none,ticketmaster_TOU
The Privacy Policy explains how we handle the personal information that we process.,none,ticketmaster_TOU
"If these Terms conflict with any of the Other Policies, the terms of the Other Policy will govern with respect to that conflict—except with respect to the arbitration agreement and class action waiver set forth in Section 14, which shall supersede any conflicting terms in the Other Policies.",arbitration,ticketmaster_TOU
"If these Terms or any of the Other Policies conflict with our website FAQs or informational microsites, these Terms and the Other Polices will govern.",none,ticketmaster_TOU
