clause,label,source_policy
TikTok What Information We Collect How We Use Your Information How We Share Your Information Your Rights Your Choices Data Security and Retention Children and Teens Other Rights Privacy Policy Updates Contact Us U.S.,none,tiktok
"Privacy Policy Last updated: Aug 19, 2024 This Privacy Policy applies to TikTok services (the “Platform”), which include TikTok apps, websites, software and related services accessed via any platform or device that link to this Privacy Policy.",none,tiktok
The Platform is provided and controlled by TikTok Inc.,none,tiktok
We are committed to protecting and respecting your privacy.,none,tiktok
"This Privacy Policy explains how we collect, use, share, and otherwise process the personal information of users and other individuals age 13 and over in connection with our Platform.",none,tiktok
"For information about how we collect, use, share, and otherwise process the personal information of users under age 13 (“Children”), please refer to our Children’s Privacy Policy.",none,tiktok
"For information about how we collect, use, share, and otherwise process consumer health data as defined under Washington’s My Health My Data Act and other similar state laws, please refer to the Consumer Health Data Privacy Policy.",none,tiktok
Capitalized terms that are not defined in this Privacy Policy have the meaning given to them in the Terms of Service.,none,tiktok
"What Information We Collect We may collect information from and about you, including information that you provide, information from other sources, and automatically collected information.",none,tiktok
"Information You Provide When you create an account, upload content, contact us directly, or otherwise use the Platform, you may provide some or all of the following information: Account and profile information, such as name, age, username, password, language, email, phone number, social media account information, and profile image.",none,tiktok
"User-generated content, including comments, photographs, livestreams, audio recordings, videos, text, hashtags, and virtual item videos that you choose to create with or upload to the Platform (“User Content”) and the associated metadata, such as when, where, and by whom the content was created.",none,tiktok
"Even if you are not a user, information about you may appear in User Content created or published by users on the Platform.",none,tiktok
"When you create User Content, we may upload or import it to the Platform before you save or post the User Content (also known as pre-uploading), for example, in order to recommend audio options, generate captions, and provide other personalized recommendations.",none,tiktok
"If you apply an effect to your User Content, we may collect a version of your User Content that does not include the effect.",none,tiktok
"Messages, which include information you provide when you compose, send, or receive messages through the Platform’s messaging functionalities.",none,tiktok
"They include messages you send through our chat functionality when communicating with sellers who sell goods to you, and your use of virtual assistants when purchasing items through the Platform.",none,tiktok
"That information includes the content of the message and information about the message, such as when it was sent, received, or read, and message participants.",none,tiktok
Please be aware that messages you choose to send to other users of the Platform will be accessible by those users and that we are not responsible for the manner in which those users use or share the messages.,none,tiktok
"Information, including text, images, and videos, found in your device’s clipboard, with your permission.",none,tiktok
"For example, if you choose to initiate information sharing with a third-party platform, or choose to paste content from the clipboard onto the Platform, we access this information stored in your clipboard in order to fulfill your request.",data_sharing,tiktok
"Purchase information, including payment card numbers or other third-party payment information (such as PayPal) where required for the purpose of payment, and billing and shipping address.",data_sharing,tiktok
We also collect information that is required for extended warranty purposes and your transaction and purchase history on or through the Platform.,none,tiktok
"Your phone and social network contacts, with your permission.",none,tiktok
"If you choose to find other users through your phone contacts, we will access and collect information such as names, phone numbers, and email addresses, and match that information against existing users of the Platform.",none,tiktok
"If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts.",none,tiktok
Your choices and communication preferences.,none,tiktok
Information to verify an account such as proof of identity or age.,none,tiktok
"Information in correspondence you send to us, including when you contact us for support.",none,tiktok
"Information you share through surveys or your participation in challenges, research, promotions, marketing campaigns, events, or contests such as your gender, age, likeness, and preferences.",none,tiktok
"Information From Other Sources We may receive the information described in this Privacy Policy from other sources, such as: If you choose to sign-up or log-in to the Platform using a third-party service such as Facebook, Twitter, Instagram, or Google, or link your TikTok account to a third-party service, we may collect information from the service–for example, your public profile information (such as nickname), email, and contact list.",data_sharing,tiktok
"Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.",data_sharing,tiktok
"These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.",data_sharing,tiktok
Some of our advertisers and other partners enable us to collect similar information directly from their websites or apps by integrating our TikTok Advertiser Tools (such as TikTok Pixel).,none,tiktok
"We may obtain information about you from certain affiliated entities within our corporate group, including about your activities on their platform.",none,tiktok
"We may receive information about you from others, including where you are included or mentioned in User Content, direct messages, in a complaint, appeal, request or feedback submitted to us, or if your contact information is provided to us.",none,tiktok
"We may also collect or receive information about you from organizations, businesses, people, and others, including, for example, publicly available sources, government authorities, professional organizations, and charity groups.",none,tiktok
"Automatically Collected Information We automatically collect certain information from you when you use the Platform, including internet or other network activity information such as your IP address, geolocation-related data, unique device identifiers, browsing and search history (including content you have viewed in the Platform), and Cookies.",tracking,tiktok
We collect information regarding your use of the Platform and any other User Content that you generate through or upload to our Platform.,none,tiktok
"We collect certain information about the device you use to access the Platform, such as your IP address, user agent, mobile carrier, time zone settings, identifiers for advertising purposes, model of your device, the device system, network type, device IDs, your screen resolution and operating system, app and file names and types, keystroke patterns or rhythms, battery state, audio settings and connected audio devices.",none,tiktok
We automatically assign you a device ID and user ID.,none,tiktok
"Where you log-in from multiple devices, we will be able to use information such as your device ID and user ID to identify your activity across devices.",none,tiktok
We may also associate you with information collected from devices other than those you use to log-in to the Platform.,none,tiktok
"We collect information about your approximate location, including location information based on your SIM card and/or IP address.",none,tiktok
"In addition, we collect location information (such as tourist attractions, shops, or other points of interest) if you choose to add the location information to your User Content.",none,tiktok
Current versions of the app do not collect precise or approximate GPS information from U.S.,none,tiktok
"If you are still using an older version that allowed for collection of precise or approximate GPS information (last release in August 2020) and you granted us permission to do so, we may collect such information.",none,tiktok
"We may collect information about the videos, images and audio that are a part of your User Content, such as identifying the objects and scenery that appear, the existence and location within an image of face and body features and attributes, the nature of the audio, and the text of the words spoken in your User Content.",none,tiktok
"We may collect this information to enable special video effects, for content moderation, for demographic classification, for content and ad recommendations, and for other non-personally-identifying operations.",none,tiktok
We may collect biometric identifiers and biometric information as defined under U.S.,none,tiktok
"laws, such as faceprints and voiceprints, from your User Content.",none,tiktok
"Where required by law, we will seek any required permissions from you prior to any such collection.",none,tiktok
"When you upload or create User Content, you automatically upload certain metadata that is connected to the User Content.",none,tiktok
Metadata describes other data and provides information about your User Content that will not always be evident to the viewer.,none,tiktok
"For example, in connection with your User Content the metadata can describe how, when, where, and by whom the piece of User Content was created, collected, or modified and how that content is formatted.",none,tiktok
"It also includes information, such as your account name, that enables other users to trace back the User Content to your user account.",none,tiktok
"Additionally, metadata includes data that you choose to provide with your User Content, e.g., any hashtags used to mark keywords to the video and captions.",none,tiktok
"We and our service providers and business partners use cookies and other similar technologies (e.g., web beacons, flash cookies, etc.) (“Cookies”) to automatically collect information, measure and analyze how you use the Platform, including which pages you view most often and how you interact with content, enhance your experience using the Platform, improve the Platform, provide you with advertising, and measure the effectiveness of advertisements and other content.",tracking,tiktok
We and our partners also use Cookies to promote the Platform on other platforms and websites.,tracking,tiktok
Cookies enable the Platform to provide certain features and functionality.,tracking,tiktok
"Web beacons are very small images or small pieces of data embedded in images, also known as “pixel tags” or “clear GIFs,” that can recognize Cookies, the time and date a page is viewed, a description of the page where the pixel tag is placed, and similar information from your computer or device.",tracking,tiktok
"To learn how to disable certain Cookies, see the “Your Choices” section below.",tracking,tiktok
"We may link your contact or account information with your activity on and off our Platform across all your devices, using your email or other log-in or device information.",none,tiktok
"We may use this information to display advertisements on our Platform tailored to your interests, preferences, and characteristics.",none,tiktok
"We are not responsible for the privacy practices of our service providers and business partners, and the information practices of these service providers and business partners are not covered by this Privacy Policy.",none,tiktok
We may aggregate or de-identify the information described above.,none,tiktok
Aggregated or de-identified data is not subject to this Privacy Policy.,none,tiktok
"How We Use Your Information As explained below, we use your information to improve, support and administer the Platform, to allow you to use its functionalities, and to fulfill and enforce our Terms of Service.",none,tiktok
"We may also use your information to, among other things, show you suggestions, promote the Platform, and customize your ad experience.",none,tiktok
"We generally use the Information We Collect: To fulfill requests for products, services, Platform functionality, support and information for internal operations, including troubleshooting, data analysis, testing, research, statistical, and survey purposes and to solicit your feedback.",none,tiktok
To customize the content you see when you use the Platform.,none,tiktok
"For example, we may provide you with services based on the country settings you have chosen or show you content that is similar to content that you have liked or interacted with.",none,tiktok
To send promotional materials from us or on behalf of our affiliates and trusted third parties.,none,tiktok
To improve and develop our Platform and conduct product development.,none,tiktok
"To measure and understand the effectiveness of the advertisements we serve to you and others and to deliver advertising, including targeted advertising, to you on the Platform.",none,tiktok
To make suggestions and provide a customized ad experience.,none,tiktok
"To support the social functions of the Platform, including to permit you and others to connect with each other (for example, through our Find Friends function), to suggest accounts to you and others, and for you and others to share, download, and otherwise interact with User Content posted through the Platform.",none,tiktok
To use User Content as part of our advertising and marketing campaigns to promote the Platform.,none,tiktok
"To understand how you use the Platform, including across your devices.",none,tiktok
"To infer additional information about you, such as your age, gender, and interests.",none,tiktok
"To help us detect abuse, fraud, and illegal activity on the Platform.",none,tiktok
"To promote the safety and security of the Platform, including by scanning, analyzing, and reviewing User Content, messages and associated metadata for violations of our Terms of Service, Community Guidelines, or other conditions and policies.",none,tiktok
"To verify your identity in order to use certain features, such as livestream or verified accounts, or when you apply for a Business Account, to ensure that you are old enough to use the Platform (as required by law), or in other instances where verification may be required.",none,tiktok
"To communicate with you, including to notify you about changes in our services.",none,tiktok
"To announce you as a winner of our contests or promotions if permitted by the promotion rule, and to send you any applicable prizes.",none,tiktok
"To enforce our Terms of Service, Community Guidelines, and other conditions and policies.",none,tiktok
"Consistent with your permissions, to provide you with location-based services, such as advertising and other personalized content.",none,tiktok
"To train and improve our technology, such as our machine learning models and algorithms.",none,tiktok
To combine all the Information We Collect or receive about you for any of the foregoing purposes.,none,tiktok
"To facilitate sales, promotion, and purchases of goods and services and to provide user support.",none,tiktok
For any other purposes disclosed to you at the time we collect your information or pursuant to your consent.,none,tiktok
"Profiling: We do not engage in profiling which results in legal or similarly significant effects, as defined under applicable law.",ai_decisions,tiktok
"How We Share Your Information We are committed to maintaining your trust, and while TikTok does not sell your personal information or share your personal information with third parties for purposes of cross-context behavioral advertising where restricted by applicable law, we want you to understand when and with whom we may share the Information We Collect for business purposes.",none,tiktok
"Service Providers and Business Partners We share the categories of personal information listed above with service providers and business partners to help us perform business operations and for business purposes, including research, payment processing and transaction fulfillment, database maintenance, administering contests and special offers, technology services, deliveries, sending communications, advertising and marketing services, analytics, measurement, data storage and hosting, disaster recovery, search engine optimization, and data processing.",none,tiktok
"These service providers and business partners may include: Payment processors and transaction fulfillment providers, who may receive the Information You Provide, Information From Other Sources, and Automatically Collected Information but who do not receive your message data, including, in particular, the following third-party payment providers/processors: PayPal (https://www.paypal.com/us/webapps/mpp/ua/privacy-full) and Stripe (https://stripe.com/en-ie/privacy).",data_sharing,tiktok
"Customer and technical support providers, who may receive the Information You Provide, Information From Other Sources, and Automatically Collected Information.",none,tiktok
"Researchers who may receive the Information You Provide, Information From Other Sources, and Automatically Collected Information but would not receive your payment information or message data.",none,tiktok
"Advertising, marketing, and analytics vendors, who may receive the Information You Provide, Information From Other Sources, and Automatically Collected Information but would not receive your payment information or message data.",none,tiktok
"Within Our Corporate Group As a global company, the Platform is supported by certain entities within our corporate group, which are given limited remote access to Information We Collect as necessary to enable them to provide certain important functions.",none,tiktok
"To learn more about how we share information with certain corporate group entities, see here.",data_sharing,tiktok
"In Connection with a Sale, Merger, or Other Business Transfer We may share all of the Information We Collect in connection with a substantial corporate transaction, such as the sale of a website, a merger, consolidation, asset sales, or in the unlikely event of bankruptcy.",none,tiktok
"For Legal Reasons We may disclose any of the Information We Collect to respond to subpoenas, court orders, legal process, law enforcement requests, legal claims, or government inquiries, and to protect and defend the rights, interests, safety, and security of the Platform, our affiliates, users, or the public.",none,tiktok
"We may also share any of the Information We Collect to enforce any terms applicable to the Platform, to exercise or defend any legal claims, and comply with any applicable law.",none,tiktok
With Your Consent We may share your information for other purposes pursuant to your consent or at your direction.,none,tiktok
"We partner with third-party services (such as Facebook, Instagram, Twitter, and Google) to offer you a seamless sign-up, log-in, and content-sharing experience.",data_sharing,tiktok
We may share information about you with these third-party services if you choose to use these features.,data_sharing,tiktok
"For example, the services may receive information about your activity on the Platform and may notify your connections on the third-party services about your use of the Platform, in accordance with their privacy policies.",data_sharing,tiktok
"If you choose to allow a third-party service to access your account, we will share certain information about you with the third party.",data_sharing,tiktok
"Depending on the permissions you grant, the third party may be able to obtain your account information and other information you choose to provide.",data_sharing,tiktok
"If you choose to engage in public activities on the Platform, you should be aware that any information you share may be read, collected, or used by other users.",none,tiktok
You should use caution in disclosing personal information while using the Platform.,none,tiktok
We are not responsible for the information you choose to submit.,none,tiktok
