clause,label,source_policy
"Skip to main content Uber Ride Drive Business Uber Eats About EN Help Log in Sign up Effective January 1, 2026 globally, except effective November 15, 2025 in the United Arab Emirates.",none,uber_driversdelivery_privacy
"Uber Privacy Notice: Drivers and Delivery People When you use Uber, you trust us with your personal data.",none,uber_driversdelivery_privacy
That starts with helping you understand our privacy practices.,none,uber_driversdelivery_privacy
"This notice describes the personal data (“data”) we collect, how it’s used and shared, and your choices regarding this data.",none,uber_driversdelivery_privacy
"We recommend that you read this along with our privacy overview, which highlights key points about our privacy practices.",none,uber_driversdelivery_privacy
Uber Privacy Notice: Riders and Order Recipients Previous version of the Privacy Notice I.,none,uber_driversdelivery_privacy
Data controllers and Data Protection Officer B.,none,uber_driversdelivery_privacy
"Overview Scope This notice applies when you use Uber’s apps or websites to provide products or services, including rides or deliveries.",none,uber_driversdelivery_privacy
"This notice describes how we collect and use your data if you provide services through Uber’s apps or websites, except when you use Uber Freight or Uber AI Solutions.",none,uber_driversdelivery_privacy
"This notice specifically applies if you: Provide, or start or complete an application to provide, transportation to riders via their Uber account or through partner transportation companies (a “Driver”) Provide, or start or complete an application to provide, shopping or delivery services, including via (Uber Eats or Postmates (a “Delivery Person”) Are an owner or employee of restaurants or merchants on the Uber Eats or Postmates platforms (a “Merchant”) This notice also governs Uber’s collection and use of account data from administrators of Uber Health, Central, Uber Direct or Uber for Business customers (“Enterprise Business Customers”), as well as contact information of Uber’s points of contact for its enterprise customers.",none,uber_driversdelivery_privacy
"This notice does not describe Uber’s collection and use of your data if you use Uber to request and receive (instead of provide) services through Uber’s app or websites, including as a rider or order recipient.",none,uber_driversdelivery_privacy
Uber’s notice describing our collection and use of such data is available here.,none,uber_driversdelivery_privacy
"Those who use Uber to either request, receive or provide services are collectively referred to as “users” in this notice.",none,uber_driversdelivery_privacy
Our privacy practices are subject to applicable laws in the places in which we operate.,none,uber_driversdelivery_privacy
"The types of data processing that such laws require, allow, or prohibit vary globally.",none,uber_driversdelivery_privacy
