clause,label,source_policy
"Your privacy is important to us United Airlines, Inc.",none,united_privacy
This Policy discloses United’s privacy practices for your information collected online or offline.,none,united_privacy
"For customers in the United Kingdom, European Union, Mexico, and Peru, please refer to the respective Privacy Policy linked here or in the Table of Contents to the right for specific disclosures and rights.",none,united_privacy
"states with data privacy laws, please refer to the Additional US State Specific Information and Potential Individual Rights section for additional disclosures and rights.",none,united_privacy
Please see our Seal of Registration issued by the Philippines National Privacy Commission here.,none,united_privacy
"Global Privacy Policy United Airlines, Inc.",none,united_privacy
(“United”) strives to take reasonable measures to protect your information.,none,united_privacy
"Except as otherwise described in this Policy, by using any of our websites and/or our services or otherwise providing us with any information, you consent to the handling of your information as described in this Policy.",none,united_privacy
"Scope of this policy This Policy applies to the personal information that we collect about you when you interact with United and this Policy is provided, which includes, but is not limited to the following situations: On United-managed websites and mobile websites, including, but not limited to, united.com, mobile.united.com, and hub.united.com; Through United-managed mobile apps, such as the United App; Through United-managed technology or devices, such as kiosks and in-flight entertainment; Offline, including, for example, through a United Customer Service Representative or other travel agent.",none,united_privacy
"This Policy does not apply to any website not owned and managed by United, including, but not limited to, United Vacations®, United Cruises, MileagePlus Shopping℠, MileagePlus Dining℠, Orbitz, Travelocity, Expedia or any other third-party site.",data_sharing,united_privacy
"However, to the extent such websites provide your information to us, we will use your information as described in this Policy.",none,united_privacy
"Nothing in this Policy is intended as a waiver of any rights, remedies, or defenses afforded to United under the law all of which United expressly reserves.",none,united_privacy
"Information we collect We collect and maintain information, including personal information, about you directly from you (both online and offline), automatically when you use our websites and services, and from third parties.",none,united_privacy
"For example, we collect information when you make travel arrangements, contact us, complete a survey, enroll and participate in MileagePlus®, participate in a promotion, or otherwise interact with us.",none,united_privacy
"The type of information we collect about you depends on your particular interaction with us, and may include, but is not limited to, the following information: Name; Contact information (for example, address, phone number, email address, or social media handle); MileagePlus number and security information (for example, password or authentication information); Gender and date of birth; Payment information (for example, credit card information or billing information); Passport information and photograph; Government ID or redress number; Tax ID; Images and biometric information; Travel preferences and special requests; Purchase information (including both travel and non-travel purchases and subscriptions); User and activity data; Survey responses; and Health information.",none,united_privacy
"Information we collect directly from you MileagePlus When you enroll and participate in our loyalty program, MileagePlus, we collect information such as your name, contact information, MileagePlus number and security information.",none,united_privacy
"We also collect other information that you choose to save in your profile or otherwise provide to us such as payment and purchase information, travel preferences and special requests, marketing preferences, and other loyalty program information.",none,united_privacy
"Personal information collected and processed as part of our MileagePlus program is held by Mileage Plus Intellectual Property Assets, Ltd.",none,united_privacy
"(“MIPA”), a member of the United group of companies, whose registered office is at Maples Corporate Services Limited, PO Box 309, Ugland House, George Town, Grand Cayman, KY1-1104, Cayman Islands.",none,united_privacy
"MIPA will be a data controller in respect of that personal information under the Data Protection Law, 2017 of the Cayman Islands (“DPL”).",none,united_privacy
"Where MIPA is the data controller, it processes MileagePlus personal information where it has an appropriate legal basis.",none,united_privacy
"This may be because: Our use of your personal information is in our legitimate interest as a commercial organization (for example in order to make improvements to the MileagePlus program and services and to provide you with information you request); Our use of your personal information is necessary to perform a contract or take steps to enter into a contract with you (for example where we use your name and contact information to fulfill your MileagePlus benefits); and/or Our use of your personal information is necessary to comply with a relevant legal, security or regulatory obligation that we have (for example, where we are required to undertake vetting to comply with safety and security regulations or where we are required to disclose personal information to a court or tax authority).",none,united_privacy
"If you would like to find out more about the legal bases on which we process personal information, please contact us using the details below.",none,united_privacy
"Online purchases If you make a purchase online, we collect information such as your name, contact information, payment information, and purchase information.",none,united_privacy
"Offline purchases If you make a purchase offline, such as through a United Customer Service Representative, a travel agent, or a Flight Attendant in-flight, we collect information such as your name, contact information, payment information, and purchase information.",none,united_privacy
"Customer Service and Support We collect your information to assist you and facilitate your requests regarding United’s services, including information you provide to our customer service teams and agents through our call center and chat features.",none,united_privacy
"We may use technology, including AI-powered technology for supported chat and call center support to provide, improve, or develop our services, including the chat and call center capabilities and functionalities, so that we can better respond to your and other customers’ future interactions.",none,united_privacy
"By interacting with United, including our customer service teams and agents, you understand that United and our third-party service providers will be recording and using the information in the interaction to enhance United’s services to you and for quality assurance and training purposes, and you consent to such monitoring and/or recording.",data_sharing,united_privacy
"United Club When you purchase a United Club℠ membership and use a United Club, we collect your name, contact information, payment information, purchase information and user and activity data.",none,united_privacy
Special requests We provide you the option to make a special meal request (on certain flights) and/or provide information about special travel needs.,none,united_privacy
"If you choose to make such request and/or provide such information, we collect information in order to provide accommodations during travel.",none,united_privacy
"In addition, MileagePlus members can choose to save their special meal requests and/or special needs in their profile for use in connection with bookings made through united.com.",none,united_privacy
These saved preferences and/or selections can be changed at any time.,none,united_privacy
"COVID-19 or other disease-control information You may be required to provide information about your health, including (depending on your destination) lack or presence of symptoms related to COVID-19, COVID-19 test results, or COVID-19 vaccine information or information supporting your request for an exemption to a health-related travel requirement.",none,united_privacy
"We may offer you the ability to electronically provide such information to us, such as through our Travel-Ready Center or through a digital health pass.",none,united_privacy
"We may offer you the ability to request that we collect your information from a third party, such as a digital health app that you have chosen to use.",data_sharing,united_privacy
"We will use such information to help facilitate, but cannot guarantee, meeting your destination’s requirements, to comply with applicable laws (for example, we may be required to confirm you have necessary travel documentation), and to help ensure health and safety during the travel experience.",none,united_privacy
"We are not liable for any assistance or information provided by any employee or agent of United to you relating to such documents or compliance with such laws, or for the consequences to you resulting from failure to obtain and present such documents, which shall be in good condition, or to comply with such laws.",none,united_privacy
"We also reserve the right to deny boarding to you if your information is not in good condition according to our reasonable belief, or which otherwise do not comply with laws of the specific country you are departing from, transiting through, or travelling to.",none,united_privacy
We may offer you the ability to provide contact information to help health authorities facilitate contact tracing.,none,united_privacy
"In some cases, your destination may require that you provide such information.",none,united_privacy
We may be required by law to disclose contact information to health authorities or other government authorities.,none,united_privacy
Biometric information You may be able to participate in travel facilitation and security programs that use biometric information.,none,united_privacy
"These programs may include trial programs to expedite the boarding and baggage check processes, as well as security programs like the Traveler Verification Service administered by U.S.",none,united_privacy
"You should review any specific details regarding the collection, use, disclosure, and retention of biometric information when considering whether to participate in these programs.",none,united_privacy
"Emergencies If a medical or other emergency occurs while travelling, we may collect information such as your name, contact information, date of birth, health information, and may share such information with third-party medical or other safety personnel as necessary or advisable.",data_sharing,united_privacy
"Information we collect automatically We and our third-party service providers may automatically collect information about you, your device, or your use of our websites and apps through Tracking Technologies (as defined below in the Cookies and tracking technologies section).",data_sharing,united_privacy
"Such information includes, but is not limited to, the following: Domain name; Browser type and operating system; IP address; Device ID or alternative ID; Pinpointed physical location information from technologies like GPS, Wi-Fi, or cell tower proximity (geo-location tracking) if your location-services are enabled; Mouse movements; Web pages you view; Links you click; Length of time of your visit; Your activities on our sites including your movement through these websites; Referring URL or webpage that led you to our websites; Installs and uninstalls; and Transaction details and history.",tracking,united_privacy
We and our third-party service providers may combine this information with information that we (or they) already have collected about you.,data_sharing,united_privacy
"Information we collect from third parties We may collect information about you from third parties, including personal, demographic, and aggregate information.",none,united_privacy
"For example, if you make a reservation or purchase through a travel agent, third-party platform (such as United Vacations, United Cruises, MileagePlus Shopping, Orbitz, Travelocity, or Expedia), or through another airline, we may obtain information such as your name, contact information, purchase information, travel information, and special requests from that third party.",data_sharing,united_privacy
"We may also obtain information about you from our marketing partners, advertisers, and other third parties.",none,united_privacy
"How we use your information General - applicable to all sources of information We primarily use your information, including personal information, to provide our services to you and to fulfill your requests.",none,united_privacy
"We may combine your information with other information that we have about you, that is publicly available and/or that we have obtained from third parties (either individually or in the aggregate).",none,united_privacy
We also may use your information for the following purposes: To improve your user experience.,none,united_privacy
"To tailor the content and information that we may send or display to you; to offer customized location information, personalized help and instructions; and to otherwise personalize your experiences while using our websites or services.",none,united_privacy
"To provide relevant flight information, such as departure or arrival changes, baggage information, cancellation information, or in-flight information, via wireless services or app communications or notifications.",none,united_privacy
For operational and security needs and providing services.,none,united_privacy
To carry out our operations and services and to facilitate your transactions or requests.,none,united_privacy
"We may use your information, individually, in the aggregate, and/or combined with demographic information that we maintain or collect from third parties, for marketing and advertising purposes (via email, direct mail, telephone, web or other electronic advertising, or app notifications) and to send you news and newsletters.",none,united_privacy
"Specifically, we may use the information that we collect about you to send you email, direct mail, telephone, digital advertisements, or app communications or notifications about offers, including those offered by us, our partners or other third parties, that might be of interest to you.",none,united_privacy
"We may also use your information to determine appropriate advertising channels and venues and to place ads on such channels and venues, including placing advertising on social networking websites.",none,united_privacy
"From time to time, we may offer you the opportunity to participate in a survey or promotion.",none,united_privacy
"We use survey results for various purposes, including to enhance our services and sites and to develop improved promotions, and, if you provide your name, we may contact you to discuss your comments.",none,united_privacy
To improve and maintain our websites and our services.,none,united_privacy
"We use your information to improve and maintain our websites and services, respond to user desires and preferences, for other research and analytical purposes, and for security purposes, including, but not limited to, protecting ourselves and users of our services.",none,united_privacy
"To protect our rights and interests, and the rights and interests of other users of our services.",none,united_privacy
"In addition to the foregoing, specific examples of how we use information derived from the following categories are described below.",none,united_privacy
"MileagePlus We use your information to enroll you in MileagePlus; to provide mileage credit for program-related purchases and activities, including, but not limited to, MileagePlus partners; to communicate with you about your account; to notify you of any special promotions for which you might be eligible; and to pre-fill certain data fields so you do not need to enter the same information multiple times.",none,united_privacy
"Information collected from our apps We may use geo-location tracking to provide you with location-based tools, such as airport/map views, city code search, and United Club locations or parking spaces, or send you communications or app notifications specific to your location.",tracking,united_privacy
"In addition, for certain apps, we may use geo-location tracking to provide you with other services and information, such as identifying nearby retailer locations and/or to present you with offers which may be of interest to you, to facilitate your services and/or purchases through the app and to tally your miles and credit your account.",tracking,united_privacy
Geo-location information may also be used to protect our interests.,location,united_privacy
Please consult your mobile device manufacturer for information on setting permissions for your location-tracking features.,tracking,united_privacy
"If you click on such an advertisement, information such as your mobile device’s ID, as permitted by the platform provider, may be sent to the advertising network so that they and we may track the effectiveness of our advertising.",tracking,united_privacy
"This information might also be used for frequency capping, estimating the number of unique users, debugging or security measures and protecting our interests.",none,united_privacy
You may opt out of the collection of such information by uninstalling the app.,none,united_privacy
"Children’s data Due to the nature of our services, we collect information about children, including those under the age of 13, when necessary to comply with aviation or security regulations, for safety or security reasons, or as otherwise necessary to provide transportation and other requested services, including the MileagePlus Program.",none,united_privacy
"Where required by applicable law, we will obtain consent from a child’s parent or guardian to provide a product or service.",none,united_privacy
We will not disclose personal information of a child to third parties unless required by law (such as to comply with a court order or subpoena) or to protect the safety and security of individuals.,none,united_privacy
"For questions or requests regarding children’s data, including how to withdraw consent or to delete the child’s personal information, parents and guardians may contact us as described below in the Contact us section.",none,united_privacy
"MileagePlus With regard to children under the age of 16 who participate in the MileagePlus Program, we collect the following categories of personal information and use that information for the following purposes: MileagePlus Benefits We collect certain information about children when enrolling and participating in the MileagePlus Program such as their name, phone number(s), email address, MileagePlus account number, and password or other account security authentication information.",none,united_privacy
"Upon receiving consent from the child’s parent or guardian, who must also be a MileagePlus member, United will associate the personal information of that parent or guardian with the child’s MileagePlus account.",none,united_privacy
"We also collect other information that the child chooses to save in their profile or otherwise provide to us such as government identification numbers, payment and purchase information, travel preferences and special requests, and other loyalty program information.",none,united_privacy
We may use the information collected to carry out our operations and services and to facilitate the child’s transactions or requests or to personalize their experiences while using our websites or services associated with the MileagePlus Program.,none,united_privacy
"Access to Content and Services Associated with MileagePlus Membership United provides certain services to enhance a consumer’s experience on its world-class flights, including our Starlink WiFi services and Personal Device Entertainment.",none,united_privacy
"When accessing this content or services, we may ask the child to provide certain information for notification and security purposes, including the child’s MileagePlus login credentials.",none,united_privacy
We may collect information surrounding the child’s activity and usage of the content or services to carry out our operations and services and to facilitate transactions or requests or to personalize the experience while using our websites or services.,none,united_privacy
"Specifically, for access to onboard services while logged into their MileagePlus account like Starlink WiFi services, we collect directly from children or automatically from their device the following information for authentication and security purposes: • MileagePlus Number and security information (for example, password or authentication information); • Email Address (if used for login) • Date of Birth; • Domain name; • Browser type and operating system; • IP address; • Device ID or alternative ID; • Language preferences; and • Identifiers and information associated with the content consumed by the child.",none,united_privacy
"Automatically Collected for Troubleshooting and Analytical Purposes We and our third-party service providers that perform functions on our behalf may automatically collect certain personal information about the child, their device, or their use of our websites and apps as a MileagePlus member through Tracking Technologies for improvement and maintenance of the services provided.",data_sharing,united_privacy
"Such information includes, but is not limited to, the following: • Domain name; • Browser type and operating system; • IP address; • Device ID or alternative ID; • Web pages viewed; • Links clicked; • Length of time of web visit; • Activities on our sites including movement through these websites; • Referring URL or webpage that led to our websites; • Installs and uninstalls; and • Transaction details and history.",none,united_privacy
We and our third-party service providers may combine this information with information that we (or they) already have collected about the child for improvement and maintenance of the MileagePlus service provided.,data_sharing,united_privacy
"We do not “sell” or “share” for cross-context behavioral advertising, or use for targeted advertising, the child’s personal information as part of MileagePlus membership.",none,united_privacy
"We may disclose the child’s personal information in a limited number of instances, including the following: • We may disclose information to our service providers if necessary for them to perform a business, professional, or technology support function for us.",none,united_privacy
"• We may disclose personal information if permitted or required by law, for example, in response to a court order or a subpoena.",none,united_privacy
"To the extent permitted by applicable law, we also may disclose children’s personal information (i) in response to a law enforcement or public agency’s request; (ii) if we believe disclosure may prevent the instigation of a crime, facilitate an investigation related to public safety or protect the safety of a child using our sites or applications; (iii) to protect the security or integrity of our sites, applications, and other technology, as well as the technology of our service providers; or (iv) enable us to take precautions against liability.",none,united_privacy
"Categories of personal information we sell or share or use for targeted advertising When we engage in targeted advertising, we use personal information to deliver personalized ads to each person.",none,united_privacy
We do not sell your information in a way that most people would think of as a sale.,none,united_privacy
Various US state privacy laws have very broad definitions of “sell” or “share” as it relates to personal information for the use of targeted advertising.,none,united_privacy
"Under these definitions, when we use targeted advertising, it may be deemed as selling your information.",none,united_privacy
"We may “sell” or “share” for purposes of cross-context behavioral advertising, or use for targeted advertising all categories of personal information identified in the Information we collect section, except for personal information that is health information, images and biometric information, security information (for example, password or authentication information), financial account or payment card information, passport information and photograph, government ID or redress number, tax ID, or information related to children under the age of 16.",none,united_privacy
"The referenced categories of personal information are sold to, shared for cross-contextual behavioral advertising, or used for targeted advertising with entities for which we provide digital advertising services, business partners, advertising networks, and other companies that facilitate digital advertising.",none,united_privacy
We engage in such sales and sharing to facilitate digital advertising services that we offer.,none,united_privacy
"For example, we allow third parties to place Tracking Technologies (as defined below) on our website that may collect information about your online activities over time and across different websites or applications.",tracking,united_privacy
We also utilize information that we have about you to create advertising profiles that we then provide to other entities to allow those entities to directly market to you and people like you.,none,united_privacy
"For more information, see the Cookies and tracking technologies section below.",tracking,united_privacy
"We may sell the same categories of personal information to our affiliates, so they can offer their products and services to you or third parties as otherwise noted in this Policy.",none,united_privacy
"To opt out of such sales and sharing of personal information, click here.",none,united_privacy
We do not sell or share for cross-context behavioral advertising any of the other categories of personal information we collect.,none,united_privacy
"Retention We retain personal information for use in fulfilling the actions identified in the How we use your information section, to provide you services and address your inquiries, and to comply with applicable laws, and will no longer retain it if none of those actions remain applicable to the personal information.",none,united_privacy
Disclosing your information We may disclose your personal information to the following persons/entities: Affiliates.,none,united_privacy
We may disclose information we collect from you to our affiliates or subsidiaries.,none,united_privacy
"Our affiliates and subsidiaries may use your information for various purposes, including marketing their products and services to you.",none,united_privacy
We may share your information with third parties that assist us and perform functions on our behalf.,none,united_privacy
"These entities may include technical support, website hosting, service/order fulfillment, customer service and credit card processing, among others.",none,united_privacy
"In some cases, third-party service providers, such as information technology and data processing vendors, data storage services, etc., may be located outside the United States and your personal information may be processed or stored in other countries.",data_sharing,united_privacy
We also use third parties to assist us in determining and placing relevant advertising.,none,united_privacy
We may also share your information with third parties as necessary to complete your transaction or fulfill your requests.,none,united_privacy
"We may also share your information with third parties for marketing purposes, including, but not limited to, the third party’s own marketing or promotional purposes or other companies’ marketing purposes in order for them to present you with offers on services or products that may be of interest to you.",data_sharing,united_privacy
"We may share your information with contracted corporate customers as part of our management of agreements we have with them, corporate expense management, corporate promotions and other services for corporate business travelers.",none,united_privacy
"If we jointly offer a product or service with a different entity, we will share your information with that entity to assist in marketing and providing that product or service.",none,united_privacy
"These entities may include, but are not limited to, airlines, car rental agencies, hotels and travel agencies.",none,united_privacy
We may also share your information with our partners for their own marketing purposes.,none,united_privacy
All the above categories exclude text messaging originator opt-in data and consent which will not be shared with any third parties.,none,united_privacy
"We may share your information with advertisers and publishers to market products, deliver personalized content to you, and measure ad performance when you visit our websites and apps or third party websites.",data_sharing,united_privacy
We may use and disclose your information for research and analytics purposes.,none,united_privacy
"Aggregate information, such as demographic information, domain names, other site traffic information, etc., may at times be shared with our partners or other third parties.",none,united_privacy
Law enforcement/Legal processes/Other uses.,none,united_privacy
"We may also disclose your information: if required to do so by law, court order, subpoena or other legal process; as requested by a governmental, law enforcement or health authority; to protect our rights or property, our customers, our websites or users; or when we believe in good faith that it is in the interests of aviation security or that disclosure is otherwise necessary or advisable.",none,united_privacy
"In certain circumstances, our third-party service providers may be required to disclose information to government or law enforcement authorities.",data_sharing,united_privacy
"Security, health and customs and immigration laws in the U.S.",none,united_privacy
"and many other countries require all airlines, including United, to provide border control agencies or other governmental authorities with passenger data.",none,united_privacy
"In order to comply with these laws, we may disclose information about you and your travel arrangements to such authorities.",none,united_privacy
"If we are acquired by or merge with another entity, if any of our assets are transferred to another entity, or as part of a bankruptcy proceeding, we may transfer the information that we collected from and about you to the other entity.",none,united_privacy
Additional notice for users of certain mobile websites.,none,united_privacy
You may make purchases using MileagePlus award miles through certain websites.,none,united_privacy
"If you choose to use these websites, then we will receive information from the third party about your purchase and will exchange information with the third party to facilitate the transaction and the use of miles from your account.",data_sharing,united_privacy
Disclosure of Personal Information For Business Purposes in the Past 12 Months All categories of personal information identified in the Information we collect section may have been disclosed to any of the categories of third parties that we identify in the Disclosing your information section above.,none,united_privacy
"Except for those categories of personal information that contain health information, images and biometric information, security information (for example, password or authentication information), financial account or payment card information, passport information and photograph, government ID or redress number, tax ID, or information related to children under the age of 16, all categories of personal information identified in the Information we collect section may have been sold or shared in the past 12 months to any of the categories of third parties that we identify in the Disclosing your information section above, aside from those acting as service providers.",none,united_privacy
"Business Purposes for Such Disclosures We disclose the categories of personal information to the categories of third parties identified above for the following purposes: to manage customer, supplier and vendor accounts and relationships; process payments; verify customers’ identities; fulfill orders and transactions; engage in advertising and marketing; operate our IT systems and secure our systems; prevent fraud and other illegal activities; and to obtain professional advice about legal and accounting matters.",none,united_privacy
"Additional Information About How We May Disclose Personal Information and Purposes for Disclosures We may also disclose your personal information as required or permitted by law to comply with a subpoena or similar legal process or government request, or when we believe in good faith that disclosure is legally required or otherwise necessary to protect our rights and property or the rights, property or safety of others, including to law enforcement agencies, and judicial and regulatory authorities.",none,united_privacy
We may also disclose your personal information to third parties to help detect and protect against fraud or data security vulnerabilities.,none,united_privacy
"And we may disclose or transfer your personal information to a third party in the event of an actual or potential sale, merger, reorganization of our entity or other restructuring.",data_sharing,united_privacy
"Cookies and tracking technologies We and certain third-party service providers and vendors automatically collect information by using technologies and methodologies, such as “cookies”, pixels, tags, web beacons, local storage objects, or other similar technologies, including but not limited, to session replay code (“Tracking Technologies”) that enable tracking as you browse our websites and apps.",data_sharing,united_privacy
"Tracking Technologies include code that may place small data files on your computer, tablet, mobile phone, or other devices and that may record certain pieces of information when you visit our websites and apps.",tracking,united_privacy
"We may use Tracking Technologies to authenticate you as a user, to remember your preferences for using the site, to deliver and customize advertisements to you (i.e.",tracking,united_privacy
"personalized advertising), to present offers that may be of interest to you, and to facilitate transactions, such as flight searches and purchases.",none,united_privacy
We and certain third-party service providers and vendors also use these tools to track and analyze use of our websites and our services.,data_sharing,united_privacy
"We may use this information on an individual basis, in the aggregate, or combine it with information that we have already collected about you.",none,united_privacy
“Cookies” are small bits of information that are stored on your device’s web browser.,tracking,united_privacy
Web beacons or “pixel tags” are small strings of code placed on a web page or in an email message for the purpose of transferring information.,none,united_privacy
"Cookies and the other technologies discussed in this section (including but not limited to GIFs and pixel tags) allow us to recognize your preference information, to track and facilitate your transactions, to look for ways to improve our services and offerings, and to facilitate effective website administration.",tracking,united_privacy
"You can choose to disable certain non-essential cookies, such as advertising cookies, analytical and customization cookies, and performance and functionality cookies on United domains.",tracking,united_privacy
"To learn more about these types of cookies, please click here and select the “preferences” link under “Cookie usage” to manage your cookie preferences.",tracking,united_privacy
"We may use Flash Local Storage Objects (""Flash LSOs"") to store your preferences and to personalize your visit.",none,united_privacy
Flash LSOs are different from browser cookies because of the amount and type of data stored.,tracking,united_privacy
"Typically, you cannot control, delete or disable the acceptance of Flash LSOs through your web browser.",none,united_privacy
"For more information on Flash LSOs or to learn how to manage your settings for Flash LSOs, go to the Adobe Flash Player Help Page, choose “Global Storage Settings Panel” and follow the instructions.",none,united_privacy
"To see the Flash LSOs currently on your computer, choose “Website Storage Settings Panel” and follow the instructions to review and, if you want, to delete any specific Flash LSO.",none,united_privacy
"Clear GIFs, pixel tags, session replay code and other technologies.",none,united_privacy
"These tracking technologies allow us to recognize your preference information, track and facilitate your transactions, to look for ways to improve our services and offerings, and facilitate effective website administration.",tracking,united_privacy
"Clear GIFs are tiny graphics with a unique identifier, similar in function to cookies.",tracking,united_privacy
"In contrast to cookies, which are stored on your computer’s hard drive, clear GIFs are embedded invisibly on web pages and may contact a third-party’s server when loaded.",data_sharing,united_privacy
Clear GIFs may also install cookies on your device.,tracking,united_privacy
"We and certain third-party service providers and vendors may use clear GIFs (also known as web beacons, web bugs or pixel tags) and session replay code, in connection with our sites and services to, among other things, track the activities of visitors (e.g., text input, keystrokes, mouse clicks, screen touches, among other things), help us manage content and compile statistics about usage.",data_sharing,united_privacy
"We and certain third-party service providers and vendors may also use clear GIFs in HTML emails sent to you to help us track email response rates, identify when our emails are viewed and track whether our emails are forwarded.",data_sharing,united_privacy
"Targeted advertising We and certain third-party partners use the information that we collect about you to serve advertisements to you on various channels, including, but not limited to, United and third-party websites, United and third-party apps and other mediums that may include social networks and television.",data_sharing,united_privacy
"We and our third-party service partners may collect the data that we use to determine relevant advertising from the following sources: data collected about you online and through your use of United and third-party websites and mobile apps, whether collected directly or automatically through Tracking Technologies (as defined above), and offline, including, but not limited to, data combined or appended from various sources.",data_sharing,united_privacy
These advertisements may be about United products and services or products and services of third parties that we think might be of interest to you.,none,united_privacy
"In addition, some third-party advertising technology used by us to deliver advertisements may use separate Tracking Technologies.",data_sharing,united_privacy
"This technology may be delivered via visits to our website, email messages, apps or otherwise.",none,united_privacy
Such Tracking Technologies may be used in conjunction with our own Tracking Technologies to enable a third-party to better identify and deliver ads tailored to you.,data_sharing,united_privacy
"Third party ad network providers, publishers, advertisers, sponsors and/or traffic measurement services may use Tracking Technologies to measure the effectiveness of their ads and to personalize advertising content to you.",data_sharing,united_privacy
"These third-party Tracking Technologies are governed by each third party's specific privacy policy, and not this Policy.",data_sharing,united_privacy
Third party ad networks may be members of the Network Advertising Initiative (“NAI”) or Digital Advertising Alliance (“DAA”).,data_sharing,united_privacy
"If they are members and you do not want to receive targeted advertisements from these third-party ad networks, you may opt out.",data_sharing,united_privacy
"Information as to member companies, the practices of such third-party ad networks and your choices regarding having information used by these companies, including how to opt out, can be found at either: https://optout.networkadvertising.org/?c=1 for NAI members or http://www.aboutads.info/choices/for DAA members.",data_sharing,united_privacy
Information on how to opt out of the use of your information by DoubleClick is available at http://www.google.com/policies/technologies/ads/ and information on how to opt out of Google Analytics is available at https://tools.google.com/dlpage/gaoptout.,none,united_privacy
Opting out of one or more NAI or DAA members means that only those particular members will no longer deliver targeted content or ads to you.,none,united_privacy
"It does not mean you will no longer receive any targeted content or ads on our websites, mobile apps, or other non-United websites.",none,united_privacy
"If your browser is configured to reject cookies when you visit one of the above referenced opt-out pages and then you erase your cookies, use a different computer or change web browsers, your NAI or DAA opt-out may no longer be active.",tracking,united_privacy
"Third-party analytics We also use automated devices and applications, such as Google Analytics, to evaluate the use of our websites and mobile apps and the services we provide.",data_sharing,united_privacy
"We use these tools to, among other things, gather information about users to help us improve our services, and improve our website and mobile app performance and user experiences.",none,united_privacy
"These analytics providers may use Tracking Technologies to perform their services, and may combine the information that they collect about you on our websites and mobile apps with other information that they have collected.",tracking,united_privacy
"This Policy does not cover such third parties’ use of the data, and we refer you to their policies.",none,united_privacy
"For information about Google’s privacy practices, please refer to the Google Privacy Policy, here.",none,united_privacy
"Your access to your information If you are a MileagePlus member, you can create, view or update your MileagePlus account by accessing it through the MileagePlus profile section on united.com or by calling 1-800-421-4655 if you are in the US or Canada.",none,united_privacy
"If you are outside the US or Canada, you may call your local contact number found here.",none,united_privacy
You may also update information relevant to your use of our app through the app itself.,none,united_privacy
"Protecting information collected We maintain physical, electronic and procedural safeguards to protect your information.",none,united_privacy
"Although we take reasonable steps to safeguard and to prevent unauthorized access to your personal information, such measures are not infallible, and we cannot be responsible for the acts of those who gain unauthorized access to our systems or your information and we make no warranty, express, implied, or otherwise, that we will prevent unauthorized access to your personal information.",none,united_privacy
"If a third party, including, but not limited to, a family member, friend, co-worker or corporate travel desk, seeks to transact business with United on your behalf, that party will be asked to provide us with the same personal information we would collect directly from you to complete your transaction.",data_sharing,united_privacy
"We assume that such third party has your consent and authorization to provide us with your personal information and make such transactions, including any subsequent changes, on your behalf in accordance with this Policy.",data_sharing,united_privacy
"If such third party who has your full name and booking reference contacts us and seeks information on your booking or requests changes to it, we will disclose your booking information and allow such third party to make changes as we will conclude you have given them your consent to do so.",data_sharing,united_privacy
