clause,label,source_policy
"Skip to main content Products Industries Customers Learn Partners Company Contact Sales Workday Privacy Statement Effective: October 8, 2024 Previous Version of Our Privacy Statement At Workday, we believe privacy is a fundamental right, regardless of where you live.",none,workday_privacy
"When you connect with Workday, we understand you are trusting us to handle your personal information appropriately.",none,workday_privacy
"That is why we are committed to transparency about how we collect, use, and share that information.",none,workday_privacy
"If you’d like to know whether this Privacy Statement applies to you and your relationship with Workday, please see the “What Does This Privacy Statement Cover?” section below.",none,workday_privacy
"To read the full privacy statement, view the “Privacy Statement” tab below.",none,workday_privacy
Download/print a copy of this Privacy Statement October 2024 Changes to This Privacy Statement We clarified language throughout and added detail about sharing of personal information with Workday partners.,none,workday_privacy
'' How we collect and use your personal information.,none,workday_privacy
Workday collects and uses personal information for various reasons.,none,workday_privacy
"When we do so, we will use it in accordance with applicable laws.",none,workday_privacy
"Some jurisdictions, including the European Economic Area (“EEA”), the United Kingdom (“UK”), and Switzerland, require a legal basis—a reason why Workday is legally allowed to collect and use your personal information.",none,workday_privacy
"Below, we describe (1) in what instances we collect your information, (2) the categories of information we collect in those instances, (3) our purposes for collection, and (4) the legal bases for collection.",none,workday_privacy
"If we need to collect other personal information from you, we will explain which information we need and why at the time we collect it.",none,workday_privacy
"Sometimes, we may ask you to provide personal information voluntarily: for example, we may ask you to provide your contact details to create an account with us, to subscribe to marketing communications from us, and/or to submit inquiries to us.",none,workday_privacy
"In some cases, we combine the information you provide.",none,workday_privacy
"When you fill out a contact form or otherwise contact us to express interest in obtaining information about Workday or our services, we may ask you to provide us with your contact information such as name, business email, telephone number, company name, job level, functional role, and address.",none,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: We process your personal information in reliance on our legitimate interests or your consent (where required by law) to: Fulfill your request and communicate with you Provide you with information about our products (including telemarketing calls and marketing emails, in accordance with your marketing preferences) If you are our customer or prospective customer.",none,workday_privacy
"If you are a representative of a company that has (or is exploring) a business relationship with Workday, we collect your business contact information including your name, business email, telephone number, and company name.",none,workday_privacy
"If you contact Workday for support related to your organization’s use of our products, services, or events, we will also collect information about the reason for your inquiry and any other information you choose to provide to us.",none,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: We process your personal information in reliance on our legitimate interests or your consent (where required by law) to: Communicate with you and fulfill your request for information or support Manage your organization’s account, including invoicing and other account-related issues Provide you with information about our products (including telemarketing calls and marketing emails, in accordance with your marketing preferences) If you are our supplier.",none,workday_privacy
"If you are a representative of a company that provides Workday with products or services, we collect your business contact information including your name, business email, telephone number, and company name.",none,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: We process your personal information in reliance on our legitimate interests to: Manage your organization’s account, including invoicing and other account-related issues Communicate with you and respond to your inquiries If you are an end user of a Workday-owned account.",none,workday_privacy
"Typically, when you use a Workday product through your employer or another Workday customer, your account is controlled and owned by that organization (see ‘If you are an end user of a Workday product through a Workday customer’ section below).",none,workday_privacy
"In some circumstances, you may register for an account directly with Workday rather than through your organization—for example, if you register for an account to access Workday Community, or as a user of Workday Strategic Sourcing.",none,workday_privacy
"In those cases, we collect the account registration information you give us (for example, your name and email) and your profile information (for example, your company name).",none,workday_privacy
"In some cases, you may have the option to personalize your account with additional information such as a photo, a social media profile, or other personal information.",none,workday_privacy
"For services that require it, we also will collect authentication information, such as mobile number, email address, or other unique verification identifiers.",none,workday_privacy
"If you sign up for a Workday training or learning course covered by this Privacy Statement, we will collect the account registration information, as well as enrollment and attendance information (including when your registration is paid for by a Workday customer or partner).",none,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: We process your personal information to perform or enter contracts or terms of service with you, or if we do not have a contract directly with you, in reliance on our legitimate interests to: Manage your user account in accordance with the applicable terms of service Ensure that you can log in to use our services and access information you need securely and efficiently Deliver requested resources or services to you (including personalized interactions) If you register for events and webinars.",none,workday_privacy
"When you register for an event or webinar, we may ask you to provide us with your contact information such as your name, business email, telephone number, and company name; your health and safety information such as your emergency contact and your dietary preferences; and your billing information such as your billing name, billing address, and credit card number.",none,workday_privacy
"If you use a Workday event-related mobile application, we may also collect additional information from your device, such as your photos, contacts, or geolocation data, in accordance with your device’s privacy settings.",location,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: We process your personal information with your consent (where required by law), to perform or enter contracts or terms of service with you, or if we do not have a contract directly with you, in reliance on our legitimate interests to: Manage, plan, and host the event, including to send related communications Improve our future events and our mobile application Improve or enhance your (or your organization’s) experience interacting with Workday Provide you with information about our products (including telemarketing calls and marketing emails, in accordance with your marketing preferences) If you participate in research with us or otherwise provide us with feedback.",none,workday_privacy
"When you participate in or register for a Workday study, survey, panel, or panel pool, or voluntarily submit certain information to us such as providing Workday with feedback about our products and services, we may ask for certain biographical or demographic information, such as your name, email address, contact information, time zone, location, company, employment status, tenure, role, job information, gender, age group, and other information relevant to the study.",none,workday_privacy
"For certain studies, we may also take photos, videos, or audio recordings (with your permission and in accordance with applicable laws).",none,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: Where you have entered into a contract with us, we will process your personal information for the performance of such contract.",none,workday_privacy
"If we do not have a contract directly with you, or otherwise obtain your consent, we rely on our legitimate interests to: Fulfill the purpose set out in the study or survey Improve your (or your organization’s) experience interacting with Workday Identify the Workday research studies best suited to you based on your attributes and invite you to participate via email Identify potential product improvements or future product developments for the workforce Contextualize your feedback and experience with our products and services so that we can improve them Improve how we conduct research If you participate in a sales call, online meeting or product demo with Workday.",none,workday_privacy
"We may record sales phone calls and online meetings (including audio and video content where applicable) for training, quality assurance, and administration purposes.",none,workday_privacy
This includes analyzing the content of such calls and online meetings using AI-powered tools to gain better insights into our interactions with our customers and prospects.,none,workday_privacy
We will always notify you before a call will be recorded and will obtain your consent where required by law.,none,workday_privacy
"We also collect information about your interaction with product demos (such as demos you access, share, and view with others) to understand your product interests and provide you with more relevant information.",none,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: We process your personal information with your consent where required under applicable law or in reliance on our legitimate interests to: Maintain high-quality sales calls, demos and engagements with prospects and customers Provide training and coaching to our sales teams Generate automated call transcripts Keep our records up to date (for example, in relation to follow-up meetings, sales opportunities, and updating customer contact details) Improve our sales processes and make our sales calls and product demos more impactful Information collected automatically.",none,workday_privacy
We also collect certain information related to your use of our websites.,none,workday_privacy
"In some jurisdictions in the United States and countries in the EEA, the UK, and Switzerland, this information may be considered personal data under applicable data protection laws.",none,workday_privacy
We may combine this information with personal information provided by you.,none,workday_privacy
"In particular, we collect the following personal information from you automatically: When you access our websites or content.",none,workday_privacy
"When you visit our websites, we collect information about your device and your usage.",none,workday_privacy
"The information collected may include your IP address, device type, unique device identification numbers, browser type, broad geographic location (for example, country or city-level location based on your public IP address), performance, and other usage and technical information.",none,workday_privacy
"We also collect information about how you interact with our websites (for example, referring web page, pages visited, features used), emails, content, or other features (for example, when you open a marketing email or click on an embedded link, or if you watch videos on our site, or interact with/message using our chat function).",none,workday_privacy
"Some of this information may be collected using cookies and similar tracking technology, as further explained in our Cookie Notice.",tracking,workday_privacy
We do not collect “sensitive personal information” as the term is defined by California law beyond what is necessary to provide your requested services.,none,workday_privacy
"Accordingly, we do not provide a mechanism for you to request that we limit our use of sensitive personal information.",none,workday_privacy
"Purpose and Legal Basis Under Data Protection Law: We process your personal information in reliance on our legitimate interests to: Better understand the visitors who come to our websites, where they come from, and what content on our website is of interest to them.",none,workday_privacy
We use this information for our internal analytics purposes and to improve the quality and relevance of our websites to our visitors.,none,workday_privacy
"Provide, operate, and maintain our websites, including providing access to content you have requested and displaying country-specific information.",none,workday_privacy
"Protect the security and prevent misuse of our websites and services by tracking use of our websites and services, verifying accounts and activity, investigating suspicious activity, and enforcing our terms and policies.",tracking,workday_privacy
When you use the Workday mobile application.,none,workday_privacy
"When you use our mobile app, we collect certain information from your device such as your device make, model, and memory.",none,workday_privacy
Our application will assign a unique identifier to your device to help us improve the performance of our applications.,none,workday_privacy
